config,topology,load_tps,n_runs,n_stable,availability_min_pct,p99_mean_ms,p50_mean_ms,goodput_mean_tps,queue_slope_mean,cpu_p95_mean,disk_p99_mean_ms,stable_all,stable_majority
C0,T0_local,25,3,3,100.000000,2026.400000,1034.733333,25.032790,-0.248810,15.734684,3.508649,True,True
C0,T0_local,50,3,3,100.000000,2001.400000,1018.066667,50.022126,-0.746528,19.520473,4.191084,True,True
C0,T0_local,100,3,3,100.000000,2026.400000,1018.066667,100.042374,-0.016667,28.153678,5.296891,True,True
C0,T0_local,200,3,0,100.000000,7368.066667,4334.733333,200.047339,36.649636,37.500552,5.334777,False,False
C0,T0_local,400,3,0,74.050000,29851.400000,19243.066667,297.825371,237.408730,38.005521,4.062005,False,False
C0,T1_vpn,25,3,3,100.000000,2063.133333,1063.133333,25.032790,-0.255754,15.614575,3.830945,True,True
C0,T1_vpn,50,3,3,100.000000,2054.800000,1063.133333,50.022126,-0.709722,19.672435,4.824107,True,True
C0,T1_vpn,100,3,3,100.000000,2054.800000,1054.800000,100.042374,0.046627,27.850413,6.343825,True,True
C0,T1_vpn,200,3,0,100.000000,7396.466667,4363.133333,200.047339,36.639220,38.194246,5.683205,False,False
C0,T1_vpn,400,3,0,73.812500,29838.133333,19254.800000,296.991938,237.272222,37.943331,3.760201,False,False
C0,T2_three_region_emulated,25,3,3,100.000000,2186.333333,1178.000000,25.032790,-0.246032,15.491845,4.256267,True,True
C0,T2_three_region_emulated,50,3,3,100.000000,2261.333333,1211.333333,50.022126,-0.680655,19.653046,3.277047,True,True
C0,T2_three_region_emulated,100,3,3,100.000000,2178.000000,1194.666667,100.042374,0.020370,27.951284,5.991719,True,True
C0,T2_three_region_emulated,200,3,0,100.000000,7494.666667,4453.000000,200.047339,36.751587,37.949708,4.564689,False,False
C0,T2_three_region_emulated,400,3,0,72.800000,29544.666667,19336.333333,293.958417,237.320139,37.572134,4.653992,False,False
C1,T0_local,25,3,3,100.000000,1026.400000,559.733333,25.032790,-0.089436,13.813492,7.275319,True,True
C1,T0_local,50,3,3,100.000000,1026.400000,526.400000,50.022126,-0.194159,16.209236,5.052957,True,True
C1,T0_local,100,3,3,100.000000,1026.400000,543.066667,100.042374,0.266706,20.528066,5.606094,True,True
C1,T0_local,200,3,3,100.000000,1026.400000,551.400000,200.047339,0.454167,28.989451,4.932761,True,True
C1,T0_local,400,3,0,100.000000,6409.733333,3943.066667,400.034114,74.729876,38.139884,5.384412,False,False
C1,T1_vpn,25,3,3,100.000000,1054.800000,596.466667,25.032790,-0.087990,14.237463,6.618079,True,True
C1,T1_vpn,50,3,3,100.000000,1071.466667,571.466667,50.022126,-0.200193,15.999992,5.821156,True,True
C1,T1_vpn,100,3,3,100.000000,1054.800000,571.466667,100.042374,0.217172,19.977911,6.369543,True,True
C1,T1_vpn,200,3,3,100.000000,1063.133333,579.800000,200.047339,0.388095,28.374675,5.238565,True,True
C1,T1_vpn,400,3,0,100.000000,6446.466667,3963.133333,400.034114,74.837070,38.001406,5.954726,False,False
C1,T2_three_region_emulated,25,3,3,100.000000,1244.666667,719.666667,25.032790,-0.097999,14.096762,6.109817,True,True
C1,T2_three_region_emulated,50,3,3,100.000000,1244.666667,686.333333,50.022126,-0.163690,16.210409,4.663117,True,True
C1,T2_three_region_emulated,100,3,3,100.000000,1236.333333,711.333333,100.042374,0.322809,20.187887,7.427943,True,True
C1,T2_three_region_emulated,200,3,3,100.000000,1261.333333,719.666667,200.047339,0.401099,28.701052,3.733834,True,True
C1,T2_three_region_emulated,400,3,0,100.000000,6603.000000,4078.000000,400.034114,74.812554,38.085804,6.470102,False,False
C2,T0_local,25,3,3,100.000000,776.400000,393.066667,25.032790,0.000000,18.094158,6.032064,True,True
C2,T0_local,50,3,3,100.000000,776.400000,401.400000,50.022126,0.037037,22.052909,6.480447,True,True
C2,T0_local,100,3,3,100.000000,776.400000,401.400000,100.042374,0.046296,28.315007,4.265572,True,True
C2,T0_local,200,3,3,100.000000,776.400000,401.400000,200.047339,0.266667,40.609539,6.902195,True,True
C2,T0_local,400,3,3,100.000000,776.400000,418.066667,400.034114,0.022222,64.450295,4.463163,True,True
C2,T1_vpn,25,3,3,100.000000,813.133333,429.800000,25.032790,0.000000,18.849871,5.183797,True,True
C2,T1_vpn,50,3,3,100.000000,829.800000,446.466667,50.022126,0.000000,22.320593,5.653506,True,True
C2,T1_vpn,100,3,3,100.000000,821.466667,446.466667,100.042374,0.055556,27.723869,5.067693,True,True
C2,T1_vpn,200,3,3,100.000000,829.800000,438.133333,200.047339,0.194444,40.396642,4.672185,True,True
C2,T1_vpn,400,3,3,100.000000,821.466667,454.800000,400.034114,-0.046296,64.227898,6.263760,True,True
C2,T2_three_region_emulated,25,3,3,100.000000,961.333333,553.000000,25.032790,0.000000,19.036734,6.528757,True,True
C2,T2_three_region_emulated,50,3,3,100.000000,994.666667,586.333333,50.022126,0.078704,21.818009,4.942101,True,True
C2,T2_three_region_emulated,100,3,3,100.000000,978.000000,569.666667,100.042374,0.111111,29.077124,5.896295,True,True
C2,T2_three_region_emulated,200,3,3,100.000000,994.666667,578.000000,200.047339,0.233333,40.861810,7.176315,True,True
C2,T2_three_region_emulated,400,3,3,100.000000,1169.666667,594.666667,400.034114,-0.138889,64.637172,6.063430,True,True
C3,T0_local,25,3,3,100.000000,534.733333,293.066667,25.032790,0.000000,18.697951,7.032276,True,True
C3,T0_local,50,3,3,100.000000,526.400000,284.733333,50.022126,0.000000,20.726720,4.999954,True,True
C3,T0_local,100,3,3,100.000000,526.400000,284.733333,100.042374,0.000000,25.047327,7.028274,True,True
C3,T0_local,200,3,3,100.000000,526.400000,276.400000,200.047339,0.000000,33.780075,5.522237,True,True
C3,T0_local,400,3,3,100.000000,526.400000,276.400000,400.034114,0.000000,50.019671,6.460929,True,True
C3,T1_vpn,25,3,3,100.000000,579.800000,329.800000,25.032790,0.000000,18.036853,6.568391,True,True
C3,T1_vpn,50,3,3,100.000000,579.800000,321.466667,50.022126,0.000000,20.465284,5.904335,True,True
C3,T1_vpn,100,3,3,100.000000,571.466667,321.466667,100.042374,0.000000,24.740406,6.232408,True,True
C3,T1_vpn,200,3,3,100.000000,579.800000,329.800000,200.047339,0.000000,32.509778,6.650638,True,True
C3,T1_vpn,400,3,3,100.000000,579.800000,329.800000,400.034114,0.000000,49.567041,8.922271,True,True
C3,T2_three_region_emulated,25,3,3,100.000000,769.666667,453.000000,25.032790,0.000000,18.976078,5.690076,True,True
C3,T2_three_region_emulated,50,3,3,100.000000,828.000000,461.333333,50.022126,0.000000,21.041832,5.261920,True,True
C3,T2_three_region_emulated,100,3,3,100.000000,778.000000,453.000000,100.042374,0.000000,24.961456,6.468815,True,True
C3,T2_three_region_emulated,200,3,3,100.000000,811.333333,461.333333,200.047339,0.000000,33.038657,7.875946,True,True
C3,T2_three_region_emulated,400,3,3,100.000000,778.000000,461.333333,400.034114,0.000000,49.939450,5.040890,True,True
C4,T0_local,25,3,3,100.000000,284.733333,159.733333,25.032790,0.000000,27.464579,8.644981,True,True
C4,T0_local,50,3,3,100.000000,276.400000,159.733333,50.022126,0.000000,29.460513,6.267425,True,True
C4,T0_local,100,3,3,100.000000,276.400000,151.400000,100.042374,0.000000,34.282800,7.053087,True,True
C4,T0_local,200,3,3,100.000000,276.400000,151.400000,200.047339,0.000000,42.191005,8.523682,True,True
C4,T0_local,400,3,3,100.000000,276.400000,151.400000,400.034114,0.000000,58.748320,7.725646,True,True
C4,T1_vpn,25,3,3,100.000000,388.133333,204.800000,25.032790,0.000000,27.829517,8.473003,True,True
C4,T1_vpn,50,3,3,100.000000,329.800000,196.466667,50.022126,0.000000,29.760401,7.163307,True,True
C4,T1_vpn,100,3,3,100.000000,329.800000,204.800000,100.042374,0.000000,33.778933,6.687555,True,True
C4,T1_vpn,200,3,3,100.000000,329.800000,204.800000,200.047339,0.000000,41.974559,6.954821,True,True
C4,T1_vpn,400,3,3,100.000000,346.466667,204.800000,400.034114,0.000000,58.868628,5.661263,True,True
C4,T2_three_region_emulated,25,3,3,100.000000,544.666667,319.666667,25.032790,0.000000,27.567939,6.399297,True,True
C4,T2_three_region_emulated,50,3,2,100.000000,611.333333,328.000000,50.022126,0.000000,29.622533,8.244386,False,True
C4,T2_three_region_emulated,100,3,3,100.000000,586.333333,319.666667,100.042374,0.000000,34.172939,7.739632,True,True
