config,topology,load_tps,n_runs,p50_ms,p95_ms,p99_ms,all_p99_ms,convergence_p99_ms,observed_block_ms
C0,T0 local,25,3,1034.733333,1934.733333,2026.400000,2026.400000,25.000000,2000.000000
C0,T0 local,50,3,1018.066667,1918.066667,2001.400000,2001.400000,25.000000,2000.000000
C0,T0 local,100,3,1018.066667,1926.400000,2026.400000,2026.400000,25.000000,2000.000000
C0,T0 local,200,3,4334.733333,6726.400000,7368.066667,7368.066667,25.000000,2000.000000
C0,T0 local,400,3,19243.066667,28834.733333,29851.400000,29851.400000,25.000000,2000.000000
C0,T1 physical VPN,25,3,1063.133333,1979.800000,2063.133333,2071.466667,25.000000,2000.000000
C0,T1 physical VPN,50,3,1063.133333,1963.133333,2054.800000,2063.133333,25.000000,2000.000000
C0,T1 physical VPN,100,3,1054.800000,1963.133333,2054.800000,2054.800000,33.333333,2000.000000
C0,T1 physical VPN,200,3,4363.133333,6754.800000,7396.466667,7404.800000,33.333333,2000.000000
C0,T1 physical VPN,400,3,19254.800000,28863.133333,29838.133333,29846.466667,25.000000,2000.000000
C0,T2 three-region (emulated),25,3,1178.000000,2103.000000,2186.333333,2236.333333,116.666667,2000.000000
C0,T2 three-region (emulated),50,3,1211.333333,2119.666667,2261.333333,2319.666667,108.333333,2000.000000
C0,T2 three-region (emulated),100,3,1194.666667,2094.666667,2178.000000,2253.000000,133.333333,2000.000000
C0,T2 three-region (emulated),200,3,4453.000000,6878.000000,7494.666667,7553.000000,133.333333,2000.000000
C0,T2 three-region (emulated),400,3,19336.333333,28861.333333,29544.666667,29561.333333,116.666667,2000.000000
C1,T0 local,25,3,559.733333,1001.400000,1026.400000,1026.400000,25.000000,1000.000000
C1,T0 local,50,3,526.400000,984.733333,1026.400000,1026.400000,25.000000,1000.000000
C1,T0 local,100,3,543.066667,976.400000,1026.400000,1026.400000,25.000000,1000.000000
C1,T0 local,200,3,551.400000,993.066667,1026.400000,1026.400000,25.000000,1000.000000
C1,T0 local,400,3,3943.066667,6084.733333,6409.733333,6409.733333,25.000000,1000.000000
C1,T1 physical VPN,25,3,596.466667,1029.800000,1054.800000,1071.466667,33.333333,1000.000000
C1,T1 physical VPN,50,3,571.466667,1029.800000,1071.466667,1079.800000,33.333333,1000.000000
C1,T1 physical VPN,100,3,571.466667,1013.133333,1054.800000,1079.800000,25.000000,1000.000000
C1,T1 physical VPN,200,3,579.800000,1029.800000,1063.133333,1079.800000,33.333333,1000.000000
C1,T1 physical VPN,400,3,3963.133333,6121.466667,6446.466667,6446.466667,25.000000,1000.000000
C1,T2 three-region (emulated),25,3,719.666667,1153.000000,1244.666667,1319.666667,133.333333,1000.000000
C1,T2 three-region (emulated),50,3,686.333333,1153.000000,1244.666667,1336.333333,175.000000,1000.000000
C1,T2 three-region (emulated),100,3,711.333333,1153.000000,1236.333333,1311.333333,200.000000,1000.000000
C1,T2 three-region (emulated),200,3,719.666667,1169.666667,1261.333333,1344.666667,166.666667,1000.000000
C1,T2 three-region (emulated),400,3,4078.000000,6236.333333,6603.000000,6678.000000,150.000000,1000.000000
C2,T0 local,25,3,393.066667,751.400000,776.400000,776.400000,25.000000,750.000000
C2,T0 local,50,3,401.400000,751.400000,776.400000,776.400000,25.000000,750.000000
C2,T0 local,100,3,401.400000,751.400000,776.400000,776.400000,25.000000,750.000000
C2,T0 local,200,3,401.400000,751.400000,776.400000,776.400000,25.000000,750.000000
C2,T0 local,400,3,418.066667,751.400000,776.400000,776.400000,25.000000,750.000000
C2,T1 physical VPN,25,3,429.800000,779.800000,813.133333,821.466667,25.000000,750.000000
C2,T1 physical VPN,50,3,446.466667,788.133333,829.800000,829.800000,25.000000,750.000000
C2,T1 physical VPN,100,3,446.466667,779.800000,821.466667,829.800000,25.000000,750.000000
C2,T1 physical VPN,200,3,438.133333,779.800000,829.800000,829.800000,25.000000,750.000000
C2,T1 physical VPN,400,3,454.800000,779.800000,821.466667,829.800000,50.000000,750.000000
C2,T2 three-region (emulated),25,3,553.000000,903.000000,961.333333,1028.000000,133.333333,750.000000
C2,T2 three-region (emulated),50,3,586.333333,928.000000,994.666667,1044.666667,158.333333,750.000000
C2,T2 three-region (emulated),100,3,569.666667,911.333333,978.000000,1028.000000,108.333333,750.000000
C2,T2 three-region (emulated),200,3,578.000000,936.333333,994.666667,1061.333333,133.333333,750.000000
C2,T2 three-region (emulated),400,3,594.666667,961.333333,1169.666667,1219.666667,158.333333,750.000000
C3,T0 local,25,3,293.066667,509.733333,534.733333,534.733333,25.000000,500.000000
C3,T0 local,50,3,284.733333,509.733333,526.400000,526.400000,25.000000,500.000000
C3,T0 local,100,3,284.733333,501.400000,526.400000,526.400000,25.000000,500.000000
C3,T0 local,200,3,276.400000,501.400000,526.400000,526.400000,25.000000,500.000000
C3,T0 local,400,3,276.400000,501.400000,526.400000,526.400000,25.000000,500.000000
C3,T1 physical VPN,25,3,329.800000,554.800000,579.800000,579.800000,25.000000,500.000000
C3,T1 physical VPN,50,3,321.466667,554.800000,579.800000,596.466667,25.000000,500.000000
C3,T1 physical VPN,100,3,321.466667,546.466667,571.466667,579.800000,33.333333,500.000000
C3,T1 physical VPN,200,3,329.800000,554.800000,579.800000,579.800000,25.000000,500.000000
C3,T1 physical VPN,400,3,329.800000,554.800000,579.800000,579.800000,25.000000,500.000000
C3,T2 three-region (emulated),25,3,453.000000,686.333333,769.666667,794.666667,133.333333,500.000000
C3,T2 three-region (emulated),50,3,461.333333,711.333333,828.000000,903.000000,158.333333,500.000000
C3,T2 three-region (emulated),100,3,453.000000,694.666667,778.000000,819.666667,133.333333,500.000000
C3,T2 three-region (emulated),200,3,461.333333,703.000000,811.333333,869.666667,141.666667,500.000000
C3,T2 three-region (emulated),400,3,461.333333,703.000000,778.000000,836.333333,175.000000,500.000000
C4,T0 local,25,3,159.733333,276.400000,284.733333,284.733333,25.000000,250.000000
C4,T0 local,50,3,159.733333,276.400000,276.400000,276.400000,25.000000,250.000000
C4,T0 local,100,3,151.400000,276.400000,276.400000,276.400000,25.000000,250.000000
C4,T0 local,200,3,151.400000,276.400000,276.400000,276.400000,25.000000,250.000000
C4,T0 local,400,3,151.400000,276.400000,276.400000,276.400000,25.000000,250.000000
C4,T1 physical VPN,25,3,204.800000,321.466667,388.133333,404.800000,25.000000,250.000000
C4,T1 physical VPN,50,3,196.466667,304.800000,329.800000,329.800000,25.000000,250.000000
C4,T1 physical VPN,100,3,204.800000,304.800000,329.800000,354.800000,25.000000,250.000000
C4,T1 physical VPN,200,3,204.800000,304.800000,329.800000,338.133333,33.333333,250.000000
C4,T1 physical VPN,400,3,204.800000,304.800000,346.466667,363.133333,25.000000,250.000000
C4,T2 three-region (emulated),25,3,319.666667,486.333333,544.666667,603.000000,133.333333,250.000000
C4,T2 three-region (emulated),50,3,328.000000,486.333333,611.333333,661.333333,191.666667,250.000000
C4,T2 three-region (emulated),100,3,319.666667,478.000000,586.333333,653.000000,183.333333,250.000000
C4,T2 three-region (emulated),200,3,328.000000,486.333333,603.000000,644.666667,183.333333,250.000000
C4,T2 three-region (emulated),400,3,328.000000,494.666667,686.333333,769.666667,200.000000,250.000000
