config,topology,load_tps,goodput_mean_tps,availability_min_pct,queue_slope_mean,cpu_p95_mean,disk_p99_mean_ms,n_stable,n_runs,stable
C0,T0 local,25,25.032790,100.000000,-0.248810,15.734684,3.508649,3,3,yes
C0,T0 local,50,50.022126,100.000000,-0.746528,19.520473,4.191084,3,3,yes
C0,T0 local,100,100.042374,100.000000,-0.016667,28.153678,5.296891,3,3,yes
C0,T0 local,200,200.047339,100.000000,36.649636,37.500552,5.334777,0,3,no
C0,T0 local,400,297.825371,74.050000,237.408730,38.005521,4.062005,0,3,no
C0,T1 physical VPN,25,25.032790,100.000000,-0.255754,15.614575,3.830945,3,3,yes
C0,T1 physical VPN,50,50.022126,100.000000,-0.709722,19.672435,4.824107,3,3,yes
C0,T1 physical VPN,100,100.042374,100.000000,0.046627,27.850413,6.343825,3,3,yes
C0,T1 physical VPN,200,200.047339,100.000000,36.639220,38.194246,5.683205,0,3,no
C0,T1 physical VPN,400,296.991938,73.812500,237.272222,37.943331,3.760201,0,3,no
C0,T2 three-region (emulated),25,25.032790,100.000000,-0.246032,15.491845,4.256267,3,3,yes
C0,T2 three-region (emulated),50,50.022126,100.000000,-0.680655,19.653046,3.277047,3,3,yes
C0,T2 three-region (emulated),100,100.042374,100.000000,0.020370,27.951284,5.991719,3,3,yes
C0,T2 three-region (emulated),200,200.047339,100.000000,36.751587,37.949708,4.564689,0,3,no
C0,T2 three-region (emulated),400,293.958417,72.800000,237.320139,37.572134,4.653992,0,3,no
C1,T0 local,25,25.032790,100.000000,-0.089436,13.813492,7.275319,3,3,yes
C1,T0 local,50,50.022126,100.000000,-0.194159,16.209236,5.052957,3,3,yes
C1,T0 local,100,100.042374,100.000000,0.266706,20.528066,5.606094,3,3,yes
C1,T0 local,200,200.047339,100.000000,0.454167,28.989451,4.932761,3,3,yes
C1,T0 local,400,400.034114,100.000000,74.729876,38.139884,5.384412,0,3,no
C1,T1 physical VPN,25,25.032790,100.000000,-0.087990,14.237463,6.618079,3,3,yes
C1,T1 physical VPN,50,50.022126,100.000000,-0.200193,15.999992,5.821156,3,3,yes
C1,T1 physical VPN,100,100.042374,100.000000,0.217172,19.977911,6.369543,3,3,yes
C1,T1 physical VPN,200,200.047339,100.000000,0.388095,28.374675,5.238565,3,3,yes
C1,T1 physical VPN,400,400.034114,100.000000,74.837070,38.001406,5.954726,0,3,no
C1,T2 three-region (emulated),25,25.032790,100.000000,-0.097999,14.096762,6.109817,3,3,yes
C1,T2 three-region (emulated),50,50.022126,100.000000,-0.163690,16.210409,4.663117,3,3,yes
C1,T2 three-region (emulated),100,100.042374,100.000000,0.322809,20.187887,7.427943,3,3,yes
