topology,load_tps,profile,n_pairs,ci_halfwidth_rel,needs_more_repeats
T0_local,25,C1,3,0.000000,False
T0_local,25,C2,3,0.000000,False
T0_local,25,C3,3,0.006169,False
T0_local,25,C4,3,0.006169,False
T0_local,50,C1,3,0.000000,False
T0_local,50,C2,3,0.000000,False
T0_local,50,C3,3,0.000000,False
T0_local,50,C4,3,0.000000,False
T0_local,100,C1,3,0.000000,False
T0_local,100,C2,3,0.000000,False
T0_local,100,C3,3,0.000000,False
T0_local,100,C4,3,0.000000,False
T0_local,200,C1,3,0.001697,False
T0_local,200,C2,3,0.001697,False
T0_local,200,C3,3,0.001697,False
T0_local,200,C4,3,0.001697,False
T0_local,400,C1,3,0.001256,False
T0_local,400,C2,3,0.000837,False
T0_local,400,C3,3,0.000837,False
T0_local,400,C4,3,0.000837,False
T1_vpn,25,C1,3,0.006059,False
T1_vpn,25,C2,3,0.012117,False
T1_vpn,25,C3,3,0.006059,False
T1_vpn,25,C4,3,0.048470,False
T1_vpn,50,C1,3,0.006083,False
T1_vpn,50,C2,3,0.000000,False
T1_vpn,50,C3,3,0.000000,False
T1_vpn,50,C4,3,0.000000,False
T1_vpn,100,C1,3,0.000000,False
T1_vpn,100,C2,3,0.006083,False
T1_vpn,100,C3,3,0.006083,False
T1_vpn,100,C4,3,0.000000,False
T1_vpn,200,C1,3,0.003380,False
T1_vpn,200,C2,3,0.001690,False
T1_vpn,200,C3,3,0.001690,False
T1_vpn,200,C4,3,0.001690,False
T1_vpn,400,C1,3,0.001257,False
T1_vpn,400,C2,3,0.001257,False
T1_vpn,400,C3,3,0.001257,False
T1_vpn,400,C4,3,0.001257,False
T2_three_region_emulated,25,C1,3,0.040021,False
T2_three_region_emulated,25,C2,3,0.011435,False
T2_three_region_emulated,25,C3,3,0.040021,False
T2_three_region_emulated,25,C4,3,0.005717,False
T2_three_region_emulated,50,C1,3,0.022111,False
T2_three_region_emulated,50,C2,3,0.005528,False
T2_three_region_emulated,50,C3,3,0.038694,False
T2_three_region_emulated,50,C4,3,0.044222,False
T2_three_region_emulated,100,C1,3,0.005739,False
T2_three_region_emulated,100,C2,3,0.011478,False
T2_three_region_emulated,100,C3,3,0.022957,False
T2_three_region_emulated,100,C4,3,0.022957,False
T2_three_region_emulated,200,C1,3,0.013343,False
T2_three_region_emulated,200,C2,3,0.005004,False
T2_three_region_emulated,200,C3,3,0.005004,False
T2_three_region_emulated,200,C4,3,0.011675,False
T2_three_region_emulated,400,C1,3,0.010154,False
T2_three_region_emulated,400,C2,3,0.014385,False
T2_three_region_emulated,400,C3,3,0.008039,False
T2_three_region_emulated,400,C4,3,0.013116,False
