metric,profile,baseline,topology,load_tps,n_pairs,baseline_mean,profile_mean,delta_improvement_ms,delta_improvement_pct,ci_low,ci_high,ci_halfwidth_rel,p_value,significant,holm_p,holm_reject
p50_ms,C1,C0,T0_local,25,3,1034.733333,559.733333,475.000000,45.905547,425.000000,525.000000,0.048322,0.000100,True,,
p50_ms,C1,C0,T0_local,50,3,1018.066667,526.400000,491.666667,48.294152,450.000000,525.000000,0.036835,0.000100,True,,
p50_ms,C1,C0,T0_local,100,3,1018.066667,543.066667,475.000000,46.657062,425.000000,500.000000,0.036835,0.000100,True,,
p50_ms,C1,C0,T0_local,200,3,4334.733333,551.400000,3783.333333,87.279494,3650.000000,4000.000000,0.040372,0.000100,True,,
p50_ms,C1,C0,T0_local,400,3,19243.066667,3943.066667,15300.000000,79.509157,15250.000000,15400.000000,0.003898,0.000100,True,,
p50_ms,C1,C0,T1_vpn,25,3,1063.133333,596.466667,466.666667,43.895404,425.000000,500.000000,0.035273,0.000100,True,,
p50_ms,C1,C0,T1_vpn,50,3,1063.133333,571.466667,491.666667,46.246943,475.000000,525.000000,0.023515,0.000100,True,,
p50_ms,C1,C0,T1_vpn,100,3,1054.800000,571.466667,483.333333,45.822273,450.000000,500.000000,0.023701,0.000100,True,,
p50_ms,C1,C0,T1_vpn,200,3,4363.133333,579.800000,3783.333333,86.711385,3650.000000,4000.000000,0.040109,0.000100,True,,
p50_ms,C1,C0,T1_vpn,400,3,19254.800000,3963.133333,15291.666667,79.417427,15250.000000,15375.000000,0.003246,0.000100,True,,
p50_ms,C1,C0,T2_three_region_emulated,25,3,1178.000000,719.666667,458.333333,38.907753,450.000000,475.000000,0.010611,0.000100,True,,
p50_ms,C1,C0,T2_three_region_emulated,50,3,1211.333333,686.333333,525.000000,43.340671,500.000000,550.000000,0.020638,0.000100,True,,
p50_ms,C1,C0,T2_three_region_emulated,100,3,1194.666667,711.333333,483.333333,40.457589,450.000000,500.000000,0.020926,0.000100,True,,
