run_id,config,topology,load_tps,repeat,trace_id,provenance,n_submitted,n_success,n_timeout,window_s,p50_ms,p95_ms,p99_ms,all_p50_ms,all_p95_ms,all_p99_ms,convergence_p99_ms,goodput_tps,availability_pct,consistency_pct,p99_drift_pct,observed_block_interval_ms,tx_per_block_mean,queue_slope_tx_per_s,queue_slope_ci_low,queue_slope_ci_high,queue_depth_p95,cpu_p95_pct,cpu_max_pct,cpu_saturated_s,disk_p99_ms,mem_p95_mib
RUN-0034,C0,T0_local,25,1,L25-R01,SIMULATED,500,500,0,19.961527,1076.400000,1926.400000,2026.400000,1076.400000,1926.400000,2026.400000,25.000000,25.048183,100.000000,100.000000,-1.233715,2000.000000,48.076923,-0.133929,-1.375000,1.166667,48.000000,15.440633,15.601083,0.000000,2.422689,1894.236800
RUN-0036,C0,T0_local,25,2,L25-R02,SIMULATED,500,500,0,19.989688,1026.400000,1926.400000,2026.400000,1026.400000,1926.400000,2026.400000,25.000000,25.012896,100.000000,100.000000,0.000000,2000.000000,48.076923,0.000000,-1.250000,0.875000,42.000000,15.361595,16.479960,0.000000,4.318568,1888.707200
RUN-0037,C0,T0_local,25,3,L25-R03,SIMULATED,500,500,0,19.970211,1001.400000,1951.400000,2026.400000,1001.400000,1951.400000,2026.400000,25.000000,25.037292,100.000000,100.000000,-1.233715,2000.000000,48.076923,-0.612500,-1.833333,0.250000,44.000000,16.401824,16.963246,0.000000,3.784690,1890.550400
RUN-0066,C0,T0_local,50,1,L50-R01,SIMULATED,1000,1000,0,19.997491,1026.400000,1926.400000,2001.400000,1026.400000,1926.400000,2001.400000,25.000000,50.006273,100.000000,100.000000,1.249126,2000.000000,96.153846,-0.250000,-2.421053,1.000000,81.000000,19.703207,20.019729,0.000000,4.695252,1924.649600
RUN-0064,C0,T0_local,50,2,L50-R02,SIMULATED,1000,1000,0,19.987437,1001.400000,1901.400000,2001.400000,1001.400000,1926.400000,2001.400000,25.000000,50.031428,100.000000,100.000000,-0.000000,2000.000000,96.153846,-0.958333,-3.000000,0.500000,85.000000,19.601433,21.526815,0.000000,4.758010,1928.336000
RUN-0068,C0,T0_local,50,3,L50-R03,SIMULATED,1000,1000,0,19.988535,1026.400000,1926.400000,2001.400000,1026.400000,1926.400000,2001.400000,25.000000,50.028679,100.000000,100.000000,0.000000,2000.000000,96.153846,-1.031250,-3.000000,0.416667,85.000000,19.256780,19.491660,0.000000,3.119989,1928.336000
RUN-0013,C0,T0_local,100,1,L100-R01,SIMULATED,2000,2000,0,19.998204,1026.400000,1926.400000,2026.400000,1026.400000,1926.400000,2026.400000,25.000000,100.008983,100.000000,100.000000,0.000000,2000.000000,192.307692,-0.316667,-3.333333,1.500000,163.000000,27.986802,28.192135,0.000000,4.068666,2000.220800
RUN-0001,C0,T0_local,100,2,L100-R02,SIMULATED,2000,2000,0,19.986017,976.400000,1926.400000,2026.400000,976.400000,1926.400000,2026.400000,25.000000,100.069965,100.000000,100.000000,1.249126,2000.000000,192.307692,0.683333,-2.500000,3.500000,167.000000,28.305819,28.469943,0.000000,4.908521,2003.907200
RUN-0006,C0,T0_local,100,3,L100-R03,SIMULATED,2000,2000,0,19.990370,1051.400000,1926.400000,2026.400000,1051.400000,1926.400000,2026.400000,25.000000,100.048173,100.000000,100.000000,1.249126,2000.000000,192.307692,-0.416667,-3.500000,1.100000,158.000000,28.168413,29.305400,0.000000,6.913487,1995.612800
RUN-0016,C0,T0_local,200,1,L200-R01,SIMULATED,4000,4000,0,19.991344,4551.400000,6826.400000,7351.400000,4551.400000,6826.400000,7351.400000,25.000000,200.086600,100.000000,100.000000,38.238980,2000.000000,312.500000,36.063492,31.166667,39.300000,1046.000000,37.956590,38.514545,0.000000,3.372291,2813.993600
