system,P0,dP,alpha,E0,dE,beta,cost
S01,0.562282,0.417718,0.133924,0.113550,0.589522,0.222894,8
S02,0.493883,0.288344,0.171424,0.086531,0.303080,0.312017,22
S03,0.391861,0.452196,0.243500,0.154793,0.242940,0.189355,18
S04,0.568931,0.260166,0.382390,0.126852,0.413787,0.152239,20
S05,0.538419,0.338762,0.196282,0.103558,0.222048,0.099279,12
S06,0.469687,0.308719,0.412232,0.127353,0.485007,0.051317,24
S07,0.484956,0.205888,0.134045,0.084528,0.518143,0.072855,15
S08,0.556094,0.403898,0.371378,0.095127,0.337374,0.103389,22
S09,0.398759,0.204603,0.105786,0.053088,0.361236,0.186162,15
S10,0.511803,0.369708,0.337938,0.106093,0.473518,0.108798,9
S11,0.501551,0.322768,0.150165,0.122099,0.526285,0.173216,25
S12,0.401534,0.440226,0.262047,0.068667,0.277801,0.237270,21
S13,0.523831,0.437681,0.368830,0.103914,0.358956,0.284513,11
S14,0.371604,0.373887,0.303633,0.099273,0.332944,0.067567,13
S15,0.477629,0.257043,0.274969,0.131364,0.289138,0.060212,20
S16,0.476026,0.390502,0.366917,0.108721,0.471359,0.188521,23
S17,0.458781,0.271873,0.336044,0.151004,0.570405,0.166546,11
S18,0.408475,0.333142,0.197739,0.103939,0.239136,0.273120,9
