system,technical,human,reliability,risk0,risk_inf,rho,time,criticality
S01,0.662098,0.649442,0.876508,0.469440,0.135500,0.077127,5,0.741522
S02,0.756910,0.718697,0.912153,0.376126,0.258828,0.186704,6,0.968202
S03,0.591435,0.500175,0.842520,0.580202,0.203090,0.215468,5,0.970865
S04,0.605056,0.570263,0.957930,0.654270,0.133692,0.205603,1,0.770210
S05,0.932863,0.543352,0.986733,0.466620,0.219579,0.162814,5,0.655886
S06,0.638976,0.692840,0.960036,0.441881,0.233866,0.054502,6,0.975740
S07,0.730935,0.638875,0.911594,0.357657,0.279428,0.094214,2,0.499976
S08,0.714187,0.660598,0.974867,0.359480,0.268628,0.168251,1,0.802981
S09,0.777582,0.790155,0.834140,0.687672,0.132636,0.171613,1,0.461821
S10,0.695107,0.602577,0.838165,0.652602,0.240754,0.088885,1,0.780726
S11,0.873899,0.684883,0.900287,0.561442,0.229377,0.207095,2,0.555808
S12,0.674777,0.856532,0.966183,0.506891,0.110690,0.182404,5,0.606003
S13,0.916425,0.689694,0.924181,0.719499,0.200990,0.093470,6,0.693239
S14,0.692831,0.591700,0.864597,0.527895,0.190157,0.120766,6,0.631771
S15,0.732939,0.573354,0.886473,0.373012,0.112428,0.195922,6,0.870207
S16,0.799125,0.607967,0.964069,0.603680,0.114346,0.210019,2,0.453586
S17,0.618762,0.791018,0.974406,0.416753,0.122681,0.075595,6,0.533282
S18,0.803195,0.837371,0.964114,0.660125,0.222196,0.186656,4,0.719840
