run,seed,hv_ii,igdp_ii,sp_ii,hv_iii,igdp_iii,sp_iii
1,1001,0.416452,0.001668,0.003504,0.416772,0.001500,0.003418
2,1002,0.419246,0.001349,0.003155,0.419300,0.001113,0.003606
3,1003,0.417610,0.001727,0.004509,0.419550,0.001371,0.004713
4,1004,0.419578,0.001103,0.004811,0.420198,0.001341,0.003781
5,1005,0.419291,0.001311,0.003295,0.420394,0.001078,0.003401
6,1006,0.419466,0.001107,0.004825,0.418154,0.001046,0.004505
7,1007,0.417985,0.002256,0.004094,0.417534,0.001102,0.003974
8,1008,0.418949,0.001043,0.004737,0.418643,0.001267,0.003242
9,1009,0.419948,0.001802,0.003497,0.419161,0.001177,0.003281
10,1010,0.419438,0.001299,0.004260,0.420794,0.001432,0.003794
11,1011,0.420253,0.001234,0.003425,0.418910,0.001041,0.004222
12,1012,0.418774,0.001221,0.004253,0.418792,0.001041,0.003798
13,1013,0.418705,0.001046,0.004128,0.418638,0.001177,0.004383
14,1014,0.418498,0.001074,0.004591,0.419183,0.001122,0.004379
15,1015,0.420435,0.001149,0.003269,0.418753,0.001035,0.002882
16,1016,0.418723,0.001638,0.002952,0.418085,0.001385,0.003957
17,1017,0.418809,0.001717,0.003340,0.417838,0.001100,0.004230
18,1018,0.415454,0.002369,0.004009,0.420408,0.001298,0.004778
19,1019,0.416863,0.001796,0.002898,0.418682,0.001471,0.003213
20,1020,0.419905,0.001450,0.004637,0.419589,0.001261,0.004711
21,1021,0.417968,0.001307,0.003374,0.419309,0.001015,0.003338
22,1022,0.418555,0.001462,0.005084,0.418264,0.001101,0.002877
23,1023,0.416298,0.001492,0.003851,0.417139,0.001319,0.004384
24,1024,0.419317,0.001103,0.003510,0.419182,0.001120,0.004041
25,1025,0.417462,0.001345,0.003672,0.419402,0.001097,0.003875
26,1026,0.420619,0.001318,0.004224,0.418498,0.001020,0.003480
27,1027,0.419616,0.001216,0.004625,0.419829,0.001330,0.004257
28,1028,0.416312,0.001396,0.003600,0.418531,0.001051,0.002974
29,1029,0.419179,0.001605,0.004807,0.418868,0.001192,0.004013
30,1030,0.419415,0.001055,0.003514,0.420427,0.001042,0.003268
