run,seed,cov_ii,size_ii,time_ii,cov_iii,size_iii,time_iii
1,1001,60.314%,321,2.7114,61.211%,336,3.1351
2,1002,62.332%,330,2.7505,60.987%,327,3.2357
3,1003,54.933%,306,2.6368,58.072%,312,3.1118
4,1004,62.108%,308,2.7346,60.987%,318,3.2359
5,1005,62.332%,321,2.7798,63.453%,324,3.1053
6,1006,63.677%,328,2.8554,67.937%,334,2.9929
7,1007,54.933%,329,2.8493,65.022%,325,3.0177
8,1008,64.350%,323,2.9449,61.211%,324,2.9570
9,1009,55.157%,316,2.6776,63.901%,315,2.7653
10,1010,60.762%,335,2.9201,57.399%,312,3.2276
11,1011,63.901%,320,2.7342,63.677%,315,3.0767
12,1012,60.090%,318,2.7065,63.677%,320,2.9124
13,1013,65.247%,337,2.7058,63.901%,349,2.9343
14,1014,65.919%,316,2.6113,65.919%,325,2.9394
15,1015,63.004%,321,2.7068,65.695%,325,3.0477
16,1016,56.502%,305,2.7213,60.987%,325,2.8718
17,1017,59.641%,349,3.0843,65.471%,325,3.0113
18,1018,51.570%,317,2.7560,59.417%,328,3.1531
19,1019,55.830%,305,2.6589,58.072%,314,2.8649
20,1020,57.623%,319,2.6287,57.399%,318,3.6636
21,1021,61.211%,323,2.7960,63.453%,313,3.0695
22,1022,57.848%,309,2.6784,64.126%,318,2.9873
23,1023,62.108%,310,2.5825,64.126%,336,2.9717
24,1024,61.883%,317,2.6336,64.350%,320,2.9323
25,1025,66.368%,349,2.9136,64.126%,343,3.1767
26,1026,61.659%,326,2.7673,67.040%,322,3.0472
27,1027,58.744%,305,2.7998,60.987%,325,2.9399
28,1028,61.659%,319,2.6990,63.901%,328,2.9480
29,1029,58.969%,319,2.7170,60.762%,311,2.9281
30,1030,63.677%,322,2.7143,64.574%,326,3.0636
