run_id,scenario,arm,repetition,phase,data_origin,site,operator_id_pseudonym,target_node,violation_type,t_attack,t_detect,t_alert,t_action_start,t_contain,t_service_restore,t_recover,detection_latency,containment_latency,detected,contained,recovered,detector_used,action_selected,action_optimal,action_regret,containment_effect,residual_impact,policy_violation,unsafe_action,rollback,fp_samples_holdout,fp_rate_holdout,fp_nodes_persistent,fp_per_hour,integrity_tp,integrity_fp,integrity_cycles,kappa,convergence_margin,source_localized,blast_recall,blast_precision,whatif_abs_err,nri,availability_below_amin,min_availability,orchestrator_cpu_s,run_cpu_s,censored_restore,exclusion_flag,exclusion_reason,protocol_deviation,execution_order,start_utc,raw_log_path,raw_log_sha256
PILOT-S2-A2-r001,S2,A2,1,pilot,simulation_pilot,SIL-container,AUTO,s08,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,57,0.02375,0,0.0,0,0,0,nan,nan,0,0.0,nan,nan,0.9015229397002404,0.7410416666666667,0.8868080415680549,0.00016993900000006334,0.040503709,1,0,,,1,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A2-r001.json.gz,47c1dbd15455364969a18588ceb4db4e1ac5c518a06516b8eae198afa6429d89
PILOT-S2-A3-r001,S2,A3,1,pilot,simulation_pilot,SIL-container,AUTO,s08,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,deny_and_reschedule,0,0.028144175903645173,0.0,1.0,0,0,0,57,0.02375,0,0.0,0,0,0,1.2175298096274287,1.0,0,0.0,nan,0.016755786741466605,0.9017546658648731,0.7410416666666667,0.886426120188946,0.0009153230000000789,0.04103060999999997,1,0,,,2,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A3-r001.json.gz,ca1eb3a31222dbc826345bd172f169a650a543eab300687c51c2fe7460cac05f
PILOT-S2-A5-r001,S2,A5,1,pilot,simulation_pilot,SIL-container,AUTO,s08,,300.0,533.0,534.0,542.001,550.001,272.0,265.001,233.0,250.00099999999998,1,1,1,integrity,revoke_identity,1,0.0,0.0,0.03,0,0,0,57,0.02375,0,0.0,1,4,467,1.1666282104743866,1.0,1,0.16666666666666666,1.0,0.021504407755794208,0.9898196662443413,0.215,0.8890073466500255,0.0009980549999999422,0.03477818099999985,0,0,,,3,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A5-r001.json.gz,b2fd247442e9ce0ac352a2280e000c34bc019345b15603434d0d64879fce0b03
PILOT-S2-A1-r001,S2,A1,1,pilot,simulation_pilot,SIL-container,AUTO,s08,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,40,0.016666666666666666,0,0.0,0,0,0,nan,nan,0,0.0,nan,nan,0.9016314015343471,0.7427083333333333,0.8844188651493571,0.00016511500000016,0.026640272000000076,1,0,,,4,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A1-r001.json.gz,8d4dcd557e751e821526701c878f826273608710eccee7945b8d34f225feda0c
PILOT-S2-A4-r001,S2,A4,1,pilot,simulation_pilot,SIL-container,AUTO,s08,,300.0,304.0,305.0,313.001,321.001,40.0,36.000999999999976,4.0,21.000999999999976,1,1,1,integrity,revoke_identity,1,0.0,0.0,0.03,0,0,0,57,0.02375,0,0.0,1,0,9,nan,nan,1,0.16666666666666666,1.0,nan,0.990959251338158,0.023333333333333334,0.895929662477797,0.0001875920000000697,0.022517039999999877,0,0,,,5,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A4-r001.json.gz,f91fc94d58ba4fb9f321fa5f31a91c7788996dd27ca8e4837cfec2ccf875eeab
PILOT-S2-A0-r001,S2,A0,1,pilot,simulation_pilot,SIL-container,OP-SIM,s08,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,40,0.016666666666666666,0,0.0,0,0,0,nan,nan,0,0.0,nan,nan,0.901537453155377,0.7414583333333333,0.8866447069988895,0.00011961000000004773,0.027315787000000036,1,0,,,6,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A0-r001.json.gz,8df53246180215beb563cd67dc616f84aa96b9233885d5dc00e1b2df43dde838
PILOT-S2-A2-r005,S2,A2,5,pilot,simulation_pilot,SIL-container,AUTO,s02,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,51,0.02125,0,0.0,0,0,0,nan,nan,0,0.0,nan,nan,0.9017134410033864,0.7414583333333333,0.8827579942921021,0.00013445000000000817,0.040235825000000114,1,0,,,7,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A2-r005.json.gz,c97693a115b9009b2af66853080ff7735c364a1b8af433a5ba7622e9d406022d
PILOT-S2-A4-r005,S2,A4,5,pilot,simulation_pilot,SIL-container,AUTO,s02,,300.0,310.5,311.5,319.501,327.501,47.5,42.500999999999976,10.5,27.500999999999976,1,1,1,integrity,revoke_identity,1,0.0,0.0,0.03,0,0,0,51,0.02125,0,0.0,1,1,22,nan,nan,1,0.16666666666666666,1.0,nan,0.9902067923138357,0.03125,0.8936996215823177,0.00013616399999993867,0.022682271000000087,0,0,,,8,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A4-r005.json.gz,508bafd61f012b2c518cd4cbb115419c13af1493c3162da662e22e1e13379c5e
PILOT-S2-A3-r005,S2,A3,5,pilot,simulation_pilot,SIL-container,AUTO,s02,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,deny_and_reschedule,0,0.040613075656104614,0.0,1.0,0,0,0,51,0.02125,0,0.0,0,0,0,1.1890376993028893,1.0,0,0.0,nan,0.0191475726746152,0.9016304496515142,0.7414583333333333,0.8874068620927611,0.0008793080000000231,0.04097746599999996,1,0,,,9,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A3-r005.json.gz,4d7b3293c77c6865003c050a48fc459c233f32239bfd7768fc210333d988d914
PILOT-S2-A0-r005,S2,A0,5,pilot,simulation_pilot,SIL-container,OP-SIM,s02,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,32,0.013333333333333334,0,0.0,0,0,0,nan,nan,0,0.0,nan,nan,0.9014289683387,0.7410416666666667,0.8882344340029327,0.00012897600000005838,0.026161266999999988,1,0,,,10,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A0-r005.json.gz,16892b124315af6c4954996c0da03d359583467fdb7aed55078156786e133773
PILOT-S2-A1-r005,S2,A1,5,pilot,simulation_pilot,SIL-container,AUTO,s02,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,32,0.013333333333333334,0,0.0,0,0,0,nan,nan,0,0.0,nan,nan,0.9015338808780101,0.741875,0.8873309747553808,0.00011990800000005741,0.02637537099999987,1,0,,,11,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A1-r005.json.gz,bf2e3ecbb7ee440bd1265a617a30eb988977d3d25208005d8c4575a097ceb6d2
PILOT-S2-A5-r005,S2,A5,5,pilot,simulation_pilot,SIL-container,AUTO,s02,,300.0,325.5,326.5,334.501,342.501,63.0,57.500999999999976,25.5,42.500999999999976,1,1,1,integrity,revoke_identity,1,0.0,0.0,0.03,0,0,0,51,0.02125,0,0.0,1,2,52,1.1705302801384654,1.0,1,0.16666666666666666,1.0,0.036030215922889575,0.9898987232562653,0.042083333333333334,0.8921177551918534,0.0009071750000000378,0.024660142999999968,0,0,,,12,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S2-A5-r005.json.gz,689292504cd950ae90a103ce811951eb7a7cb45017d84d081182935f1aea663e
PILOT-S4-A5-r004,S4,A5,4,pilot,simulation_pilot,SIL-container,AUTO,e1,security_label,300.0,300.0,301.0,309.001,317.001,47.5,32.000999999999976,0.0,17.000999999999976,1,1,1,,deny_and_reschedule,1,0.0,0.28508699997072795,0.03,0,0,0,0,0.0,0,0.0,0,0,0,1.1955541984910152,1.0,1,0.5,1.0,0.04706472835334308,0.9877062085128125,0.03375,0.859992939001964,0.0010365939999998908,0.009053124000000023,0,0,,,13,2026-08-30T20:06:08+00:00,data/pilot/raw/PILOT-S4-A5-r004.json.gz,f4dd8015d4d04e79fb793e38778c7cce3e5d548b35ebec388d12c9ae17764909
