run_id,scenario,arm,repetition,phase,data_origin,site,operator_id_pseudonym,target_node,violation_type,t_attack,t_detect,t_alert,t_action_start,t_contain,t_service_restore,t_recover,detection_latency,containment_latency,detected,contained,recovered,detector_used,action_selected,action_optimal,action_regret,containment_effect,residual_impact,policy_violation,unsafe_action,rollback,fp_samples_holdout,fp_rate_holdout,fp_nodes_persistent,fp_per_hour,integrity_tp,integrity_fp,integrity_cycles,kappa,convergence_margin,source_localized,blast_recall,blast_precision,whatif_abs_err,nri,availability_below_amin,min_availability,orchestrator_cpu_s,run_cpu_s,censored_restore,exclusion_flag,exclusion_reason,protocol_deviation,execution_order,start_utc,raw_log_path,raw_log_sha256
CONF-S2-A1-r018,S2,A1,18,confirmatory,simulation,SIL-container,AUTO,s07,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,32,0.013333333333333334,0,0.0,0,0,0,nan,nan,0,0.0,nan,nan,0.9014915621492753,0.7414583333333333,0.8869861033891824,0.00014396599999999538,0.028324837999999852,1,0,,,1,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A1-r018.json.gz,1e5cea2ccd22381b7a21e5e1183e1b9dffbd332b5835904cd2e9331bf1cec255
CONF-S2-A4-r018,S2,A4,18,confirmatory,simulation,SIL-container,AUTO,s07,,300.0,636.0,637.0,645.001,653.001,373.5,368.001,336.0,353.001,1,1,1,integrity,revoke_identity,1,0.0,0.0,0.03,0,0,0,42,0.0175,0,0.0,1,12,673,nan,nan,1,0.16666666666666666,1.0,nan,0.9895034875589167,0.30041666666666667,0.8890504166544474,0.00015301399999989584,0.038371930000000054,0,0,,,2,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A4-r018.json.gz,461b161f7d1ad9ebe7797a737c6bf0aba36cf2a54febffb13336a5c1170cf602
CONF-S2-A2-r018,S2,A2,18,confirmatory,simulation,SIL-container,AUTO,s07,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,42,0.0175,0,0.0,0,0,0,nan,nan,0,0.0,nan,nan,0.9014783985325028,0.7414583333333333,0.8883526249748603,0.00018110900000012364,0.039924756999999866,1,0,,,3,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A2-r018.json.gz,ba50ec1be5127985b7e41151de5260182ed7ab9e601671fc0e1b51cbfa23eb43
CONF-S2-A0-r018,S2,A0,18,confirmatory,simulation,SIL-container,OP-SIM,s07,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,32,0.013333333333333334,0,0.0,0,0,0,nan,nan,0,0.0,nan,nan,0.9016219871760929,0.7414583333333333,0.8860866199232355,0.00019273499999994392,0.026343242000000044,1,0,,,4,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A0-r018.json.gz,aebb9664975cb05160310d78c44f24da3544d4c0d4f8d93fad9c190fa9ca604b
CONF-S2-A3-r018,S2,A3,18,confirmatory,simulation,SIL-container,AUTO,s07,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,deny_and_reschedule,0,0.05246102163048915,0.0,1.0,0,0,0,42,0.0175,0,0.0,0,0,0,1.2180770998353896,1.0,0,0.0,nan,0.02169994841407885,0.9016242283963184,0.7414583333333333,0.8867548547976191,0.0009612539999999115,0.04220089100000002,1,0,,,5,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A3-r018.json.gz,5ea0075d0ee8d575db89a9fd325484fe792c26ea056796ac2d48d5738f47fe36
CONF-S2-A5-r018,S2,A5,18,confirmatory,simulation,SIL-container,AUTO,s07,,300.0,368.0,369.0,377.001,385.001,106.5,100.00099999999998,68.0,85.00099999999998,1,1,1,integrity,revoke_identity,1,0.0,0.0,0.03,0,0,0,42,0.0175,0,0.0,1,3,137,1.1925045150021198,1.0,1,0.16666666666666666,1.0,0.03689549856356522,0.9896946955873591,0.07708333333333334,0.8905654587657683,0.0008379300000000978,0.027028162000000133,0,0,,,6,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A5-r018.json.gz,47bdbf1fa89a3cf4c3d5c2a1f10dfe1c8df7f2538ff001c9ae8516a477074dfb
CONF-S2-A2-r035,S2,A2,35,confirmatory,simulation,SIL-container,AUTO,s04,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,38,0.015833333333333335,0,0.0,0,0,0,nan,nan,1,0.0,nan,nan,0.9015582429581893,0.741875,0.8877405637572345,0.00018462299999999487,0.03911393800000007,1,0,,,7,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A2-r035.json.gz,b12ed08fa69ec395acfe9413c190c0384924071e078536c00bb1af5512c7a2b8
CONF-S2-A1-r035,S2,A1,35,confirmatory,simulation,SIL-container,AUTO,s04,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,29,0.012083333333333333,0,0.0,0,0,0,nan,nan,1,0.0,nan,nan,0.9016103977020918,0.7410416666666667,0.8875792788112095,0.00012420300000015594,0.025763038000000016,1,0,,,8,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A1-r035.json.gz,39185bb4a093c54a19134d45508b43fae2c3a58a73aac945ca17728a4d8913ca
CONF-S2-A3-r035,S2,A3,35,confirmatory,simulation,SIL-container,AUTO,s04,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,deny_and_reschedule,0,0.03925327726283345,0.0,1.0,0,0,0,38,0.015833333333333335,0,0.0,0,0,0,1.2055862223157252,1.0,0,0.0,nan,0.019357788611284232,0.9014760728793066,0.7414583333333333,0.8857522911796213,0.0009240910000001268,0.04053610499999993,1,0,,,9,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A3-r035.json.gz,14952db02ea39dee0c2ec536799894fc5aa1aed45bdf2905bd6c8a12d96a35da
CONF-S2-A0-r035,S2,A0,35,confirmatory,simulation,SIL-container,OP-SIM,s04,,300.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,,revoke_identity,1,0.0,0.0,1.0,0,0,0,29,0.012083333333333333,0,0.0,0,0,0,nan,nan,1,0.0,nan,nan,0.9017071578921825,0.7414583333333333,0.886720684438016,0.00011812799999999513,0.02547919199999993,1,0,,,10,2026-08-30T20:06:15+00:00,data/simulation/raw/CONF-S2-A0-r035.json.gz,cc7f80cd0907ac42dad22488fd61cd6200b1dd3949b2bd736e5f05d792270f3f
