asset_id,site,role,vendor,model,hardware_revision,firmware_or_os,management_ip_pseudonym,uplink_speed,vlan,time_source,logging_enabled,evidence_file,verified_by,verified_at_utc,status,source_of_claim
A-RTR-01,A,edge router / multi-WAN gateway,Keenetic,Titan,UNVERIFIED,UNVERIFIED,PSEUDO-A-001,3x1Gbps + 2x100Mbps (nominal),UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,DECLARED_NOT_VERIFIED,cyber-range description
A-CTRL-01,A,WLAN controller,Ubiquiti,UniFi CloudKey Gen2,UNVERIFIED,UNVERIFIED,PSEUDO-A-002,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,DECLARED_NOT_VERIFIED,cyber-range description
A-AP-01..48,A,wireless access point (48 units),Ubiquiti,UNVERIFIED,UNVERIFIED,UNVERIFIED,PSEUDO-A-003..050,12 units gigabit; remaining 36 UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,DECLARED_NOT_VERIFIED,cyber-range description
A-PWR-01..03,A,portable power station (3 units),EcoFlow,UNVERIFIED,UNVERIFIED,UNVERIFIED,PSEUDO-A-051..053,n/a,n/a,n/a,UNVERIFIED,,PENDING,,DECLARED_NOT_VERIFIED,cyber-range description
A-PWR-48V,A,48 V DC backup circuit with BMS/charger/ATS,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,PSEUDO-A-054,n/a,n/a,n/a,UNVERIFIED,,PENDING,,PROJECT_ONLY,cyber-range description (explicitly projected)
B-RTR-01,B,edge router,Keenetic,Viva,UNVERIFIED,UNVERIFIED,PSEUDO-B-001,2x1Gbps (nominal),UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,DECLARED_NOT_VERIFIED,cyber-range description
B-CTRL-01,B,WLAN controller,Ubiquiti,UniFi CloudKey Gen1,UNVERIFIED,UNVERIFIED,PSEUDO-B-002,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,DECLARED_NOT_VERIFIED,cyber-range description
B-AP-01..06,B,wireless access point (6 units),Ubiquiti,UNVERIFIED,UNVERIFIED,UNVERIFIED,PSEUDO-B-003..008,100Mbps (nominal),UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,DECLARED_NOT_VERIFIED,cyber-range description
B-WS-01..25,B,workstation classroom (25 seats),UNVERIFIED,UNVERIFIED,UNVERIFIED,Kali Linux (version UNVERIFIED),PSEUDO-B-009..033,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,DECLARED_NOT_VERIFIED,cyber-range description
X-VPN-01,A-B,site-to-site VPN tunnel,UNVERIFIED,UNVERIFIED,n/a,UNVERIFIED,PSEUDO-X-001,UNVERIFIED,UNVERIFIED,n/a,UNVERIFIED,,PENDING,,DECLARED_NOT_VERIFIED,cyber-range description
M-EDGE-01..04,UNASSIGNED,edge compute node (Raspberry Pi 5 8GB),Raspberry Pi,5,UNVERIFIED,K3s v1.30 (claimed),PSEUDO-M-001..004,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,NOT_PRESENT_IN_RANGE_DESCRIPTION,Man-V3 Table 2
M-CLOUD-01..03,UNASSIGNED,cloud VM (8 vCPU / 16 GB),UNVERIFIED,UNVERIFIED,n/a,Kubernetes v1.30 (claimed),PSEUDO-M-005..007,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,NOT_PRESENT_IN_RANGE_DESCRIPTION,Man-V3 Table 2
M-TWIN-01,UNASSIGNED,digital-twin core,Eclipse,Ditto 3.5 (claimed),n/a,UNVERIFIED,PSEUDO-M-008,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,NOT_PRESENT_IN_RANGE_DESCRIPTION,Man-V3 Table 2
M-IDS-01,UNASSIGNED,network IDS,OISF,Suricata 7.0 (claimed),n/a,UNVERIFIED,PSEUDO-M-009,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,NOT_PRESENT_IN_RANGE_DESCRIPTION,Man-V3 Table 2
M-MON-01,UNASSIGNED,monitoring stack,-,Prometheus 2.53 / Grafana 11 (claimed),n/a,UNVERIFIED,PSEUDO-M-010,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,NOT_PRESENT_IN_RANGE_DESCRIPTION,Man-V3 Table 2
M-BROKER-01,UNASSIGNED,MQTT broker,Eclipse,Mosquitto 2.0 (claimed),n/a,UNVERIFIED,PSEUDO-M-011,n/a,UNVERIFIED,UNVERIFIED,UNVERIFIED,,PENDING,,NOT_PRESENT_IN_RANGE_DESCRIPTION,Man-V3 Table 2
SIL-CONTAINER,SIL,software-in-the-loop execution host (this campaign only),-,isolated Linux container,n/a,Linux 6.18 / Python 3.11.15,n/a,n/a,isolated,container clock,yes,analysis/environment.lock,automated,2026-08-30,VERIFIED_SIL_ONLY,executed in this deposit
