scenario,arm,metric,n,n_missing,mean,sd,median,q1,q3,ci_lo,ci_hi
S1,A0,detection_latency,2,52,269.0,119.50104602052653,269.0,226.75,311.25,184.5,353.5
S1,A0,containment_latency,2,52,380.9897950137849,63.01565828857636,380.9897950137849,358.7103953653916,403.26919466217817,336.43099571699827,425.5485943105715
S1,A0,t_service_restore,2,52,426.5,61.518289963229634,426.5,404.75,448.25,383.0,470.0
S1,A0,nri,54,0,0.7608551645435726,0.03460199561893912,0.7541758485821408,0.7540707379675982,0.754237131673469,0.7541408754759376,0.7711814343196105
S1,A0,fp_rate_holdout,54,0,0.013541666666666629,0.002875096844599864,0.0139583333333333,0.010937499999999975,0.0154166666666666,0.012800733024691313,0.014297839506172803
S1,A0,blast_recall,54,0,0.4166666666666667,0.13563268933075956,0.5,0.2,0.5,0.38333333333333325,0.45
S1,A0,whatif_abs_err,0,54,,,,,,,
S1,A0,orchestrator_cpu_s,54,0,7.036581481486357e-05,1.5870268150594976e-05,6.540199999971463e-05,6.01142500010754e-05,7.054549999985227e-05,6.64905305557485e-05,7.478728981468356e-05
S1,A0,availability_below_amin,54,0,0.7320138888888892,0.07578592192313849,0.7466666666666666,0.7464583333333333,0.746875,0.7093479938271607,0.7467052469135806
S1,A0,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,A0,detected,54,0,0.037037037037037035,,,,,0.01021636794844559,0.12535176917275476
S1,A0,contained,54,0,0.037037037037037035,,,,,0.01021636794844559,0.12535176917275476
S1,A0,recovered,54,0,0.037037037037037035,,,,,0.01021636794844559,0.12535176917275476
S1,A0,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A0,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A0,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A0,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A0,censored_restore,54,0,0.9629629629629629,,,,,0.8746482308272452,0.9897836320515545
S1,A1,detection_latency,2,52,269.0,119.50104602052653,269.0,226.75,311.25,184.5,353.5
S1,A1,containment_latency,2,52,286.0,119.50104602052653,286.0,243.75,328.25,201.5,370.5
S1,A1,t_service_restore,2,52,331.0,115.96551211459379,331.0,290.0,372.0,249.0,413.0
S1,A1,nri,54,0,0.7623252480530114,0.0420304542376581,0.7541623183945205,0.7540762533451388,0.754250124757992,0.7541450750007223,0.7745958317464103
S1,A1,fp_rate_holdout,54,0,0.013541666666666629,0.002875096844599864,0.0139583333333333,0.010937499999999975,0.0154166666666666,0.012793209876543164,0.01431327160493823
S1,A1,blast_recall,54,0,0.4166666666666667,0.13563268933075956,0.5,0.2,0.5,0.38333333333333325,0.45
S1,A1,whatif_abs_err,0,54,,,,,,,
S1,A1,orchestrator_cpu_s,54,0,6.602057407418292e-05,1.2821114877415536e-05,6.28884999998025e-05,5.972374999840824e-05,6.732175000134788e-05,6.312061574084016e-05,6.973111574096511e-05
S1,A1,availability_below_amin,54,0,0.729058641975309,0.09175789432679127,0.746875,0.7464583333333333,0.746875,0.7012924382716053,0.7467206790123461
S1,A1,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,A1,detected,54,0,0.037037037037037035,,,,,0.01021636794844559,0.12535176917275476
S1,A1,contained,54,0,0.037037037037037035,,,,,0.01021636794844559,0.12535176917275476
S1,A1,recovered,54,0,0.037037037037037035,,,,,0.01021636794844559,0.12535176917275476
S1,A1,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A1,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A1,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A1,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A1,censored_restore,54,0,0.9629629629629629,,,,,0.8746482308272452,0.9897836320515545
S1,A2,detection_latency,54,0,35.370370370370374,4.489174804602214,35.25,32.0,39.0,34.18518518518518,36.55555555555556
S1,A2,containment_latency,54,0,52.37137037037037,4.489174804602214,52.250999999999976,49.000999999999976,56.000999999999976,51.17692592592593,53.547296296296295
S1,A2,t_service_restore,54,0,98.45370370370371,4.780333649165559,97.75,94.625,102.0,97.22222222222223,99.73148148148148
S1,A2,nri,54,0,0.9754944907829043,9.937504561859617e-05,0.9755046914693952,0.9754325071019014,0.9755690101074976,0.975468759351466,0.9755206080036449
S1,A2,fp_rate_holdout,54,0,0.019537037037037002,0.0034279674541230526,0.019374999999999948,0.016770833333333277,0.021979166666666626,0.01864969135802466,0.020447530864197504
S1,A2,blast_recall,54,0,0.4166666666666667,0.13563268933075956,0.5,0.2,0.5,0.37777777777777777,0.45
S1,A2,whatif_abs_err,0,54,,,,,,,
S1,A2,orchestrator_cpu_s,54,0,7.5945277777786e-05,1.3502395508580768e-05,7.234050000004544e-05,6.71770000002514e-05,7.74014999993522e-05,7.254936250000309e-05,7.974494768503186e-05
S1,A2,availability_below_amin,54,0,0.07667438271604936,0.003857636539989761,0.0764583333333333,0.0733333333333333,0.07947916666666663,0.07567901234567896,0.07772376543209872
S1,A2,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,A2,detected,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A2,contained,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A2,recovered,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A2,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A2,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A2,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A2,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A2,censored_restore,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A3,detection_latency,54,0,35.370370370370374,4.489174804602214,35.25,32.0,39.0,34.18518518518518,36.55555555555556
S1,A3,containment_latency,54,0,52.37137037037037,4.489174804602214,52.250999999999976,49.000999999999976,56.000999999999976,51.16766666666667,53.538268518518514
S1,A3,t_service_restore,54,0,99.0,4.652043576103115,99.0,95.625,102.25,97.75925925925925,100.22222222222223
S1,A3,nri,54,0,0.9755158030112057,0.00010721444602188248,0.9755124609688307,0.975440969269647,0.975593328405004,0.9754878240801171,0.9755448700578268
