execution_order,phase,scenario,repetition,arm
1,confirmatory,S2,18,A1
2,confirmatory,S2,18,A4
3,confirmatory,S2,18,A2
4,confirmatory,S2,18,A0
5,confirmatory,S2,18,A3
6,confirmatory,S2,18,A5
7,confirmatory,S2,35,A2
8,confirmatory,S2,35,A1
9,confirmatory,S2,35,A3
10,confirmatory,S2,35,A0
11,confirmatory,S2,35,A4
12,confirmatory,S2,35,A5
13,confirmatory,S1,37,A2
14,confirmatory,S1,37,A3
15,confirmatory,S1,37,A4
16,confirmatory,S1,37,A5
17,confirmatory,S1,37,A1
18,confirmatory,S1,37,A0
19,confirmatory,S2,11,A3
20,confirmatory,S2,11,A4
21,confirmatory,S2,11,A1
22,confirmatory,S2,11,A2
23,confirmatory,S2,11,A5
24,confirmatory,S2,11,A0
25,confirmatory,S1,29,A3
26,confirmatory,S1,29,A5
27,confirmatory,S1,29,A0
28,confirmatory,S1,29,A4
29,confirmatory,S1,29,A1
30,confirmatory,S1,29,A2
31,confirmatory,S2,4,A5
32,confirmatory,S2,4,A3
33,confirmatory,S2,4,A0
34,confirmatory,S2,4,A2
35,confirmatory,S2,4,A1
36,confirmatory,S2,4,A4
37,confirmatory,S1,11,A2
38,confirmatory,S1,11,A1
39,confirmatory,S1,11,A4
40,confirmatory,S1,11,A3
41,confirmatory,S1,11,A5
42,confirmatory,S1,11,A0
43,confirmatory,S1,46,A5
44,confirmatory,S1,46,A3
45,confirmatory,S1,46,A2
46,confirmatory,S1,46,A1
47,confirmatory,S1,46,A0
48,confirmatory,S1,46,A4
49,confirmatory,S2,10,A4
50,confirmatory,S2,10,A1
51,confirmatory,S2,10,A5
52,confirmatory,S2,10,A2
53,confirmatory,S2,10,A0
54,confirmatory,S2,10,A3
55,confirmatory,S4,11,A3
56,confirmatory,S4,11,A4
57,confirmatory,S4,11,A1
58,confirmatory,S4,11,A2
59,confirmatory,S4,11,A5
60,confirmatory,S4,11,A0
61,confirmatory,S3,36,A0
62,confirmatory,S3,36,A4
63,confirmatory,S3,36,A1
64,confirmatory,S3,36,A2
65,confirmatory,S3,36,A3
66,confirmatory,S3,36,A5
67,confirmatory,S4,47,A2
68,confirmatory,S4,47,A0
69,confirmatory,S4,47,A3
70,confirmatory,S4,47,A4
71,confirmatory,S4,47,A5
72,confirmatory,S4,47,A1
73,confirmatory,S3,19,A1
74,confirmatory,S3,19,A2
75,confirmatory,S3,19,A4
76,confirmatory,S3,19,A0
77,confirmatory,S3,19,A5
78,confirmatory,S3,19,A3
79,confirmatory,S2,19,A0
80,confirmatory,S2,19,A3
81,confirmatory,S2,19,A1
82,confirmatory,S2,19,A4
83,confirmatory,S2,19,A5
84,confirmatory,S2,19,A2
85,confirmatory,S3,14,A1
86,confirmatory,S3,14,A2
87,confirmatory,S3,14,A3
88,confirmatory,S3,14,A0
89,confirmatory,S3,14,A5
90,confirmatory,S3,14,A4
91,confirmatory,S2,31,A0
92,confirmatory,S2,31,A5
93,confirmatory,S2,31,A2
94,confirmatory,S2,31,A4
95,confirmatory,S2,31,A3
96,confirmatory,S2,31,A1
97,confirmatory,S4,46,A4
98,confirmatory,S4,46,A1
99,confirmatory,S4,46,A2
100,confirmatory,S4,46,A5
101,confirmatory,S4,46,A3
102,confirmatory,S4,46,A0
103,confirmatory,S4,13,A4
104,confirmatory,S4,13,A3
105,confirmatory,S4,13,A1
106,confirmatory,S4,13,A0
107,confirmatory,S4,13,A2
108,confirmatory,S4,13,A5
109,confirmatory,S4,14,A0
110,confirmatory,S4,14,A2
111,confirmatory,S4,14,A3
112,confirmatory,S4,14,A4
113,confirmatory,S4,14,A1
114,confirmatory,S4,14,A5
115,confirmatory,S2,15,A5
116,confirmatory,S2,15,A4
117,confirmatory,S2,15,A3
118,confirmatory,S2,15,A0
119,confirmatory,S2,15,A2
120,confirmatory,S2,15,A1
121,confirmatory,S2,3,A3
122,confirmatory,S2,3,A0
123,confirmatory,S2,3,A1
