execution_order,phase,scenario,repetition,arm
1,pilot,S2,1,A2
2,pilot,S2,1,A3
3,pilot,S2,1,A5
4,pilot,S2,1,A1
5,pilot,S2,1,A4
6,pilot,S2,1,A0
7,pilot,S2,5,A2
8,pilot,S2,5,A4
9,pilot,S2,5,A3
10,pilot,S2,5,A0
11,pilot,S2,5,A1
12,pilot,S2,5,A5
13,pilot,S4,4,A5
14,pilot,S4,4,A1
15,pilot,S4,4,A0
16,pilot,S4,4,A3
17,pilot,S4,4,A4
18,pilot,S4,4,A2
19,pilot,S2,2,A1
20,pilot,S2,2,A2
21,pilot,S2,2,A4
22,pilot,S2,2,A3
23,pilot,S2,2,A5
24,pilot,S2,2,A0
25,pilot,S1,2,A3
26,pilot,S1,2,A5
27,pilot,S1,2,A2
28,pilot,S1,2,A0
29,pilot,S1,2,A4
30,pilot,S1,2,A1
31,pilot,S4,1,A4
32,pilot,S4,1,A1
33,pilot,S4,1,A3
34,pilot,S4,1,A2
35,pilot,S4,1,A5
36,pilot,S4,1,A0
37,pilot,S3,5,A2
38,pilot,S3,5,A0
39,pilot,S3,5,A5
40,pilot,S3,5,A4
41,pilot,S3,5,A3
42,pilot,S3,5,A1
43,pilot,S2,4,A0
44,pilot,S2,4,A3
45,pilot,S2,4,A5
46,pilot,S2,4,A2
47,pilot,S2,4,A4
48,pilot,S2,4,A1
49,pilot,S3,2,A1
50,pilot,S3,2,A3
51,pilot,S3,2,A0
52,pilot,S3,2,A4
53,pilot,S3,2,A2
54,pilot,S3,2,A5
55,pilot,S2,3,A5
56,pilot,S2,3,A2
57,pilot,S2,3,A4
58,pilot,S2,3,A1
59,pilot,S2,3,A0
60,pilot,S2,3,A3
61,pilot,S4,3,A5
62,pilot,S4,3,A1
63,pilot,S4,3,A4
64,pilot,S4,3,A0
65,pilot,S4,3,A2
66,pilot,S4,3,A3
67,pilot,S3,4,A3
68,pilot,S3,4,A5
69,pilot,S3,4,A1
70,pilot,S3,4,A2
71,pilot,S3,4,A0
72,pilot,S3,4,A4
73,pilot,S4,2,A5
74,pilot,S4,2,A0
75,pilot,S4,2,A1
76,pilot,S4,2,A3
77,pilot,S4,2,A2
78,pilot,S4,2,A4
79,pilot,S1,3,A3
80,pilot,S1,3,A0
81,pilot,S1,3,A2
82,pilot,S1,3,A1
83,pilot,S1,3,A4
84,pilot,S1,3,A5
85,pilot,S3,1,A5
86,pilot,S3,1,A1
87,pilot,S3,1,A2
88,pilot,S3,1,A0
89,pilot,S3,1,A3
90,pilot,S3,1,A4
91,pilot,S4,5,A4
92,pilot,S4,5,A3
93,pilot,S4,5,A0
94,pilot,S4,5,A2
95,pilot,S4,5,A1
96,pilot,S4,5,A5
97,pilot,S1,5,A0
98,pilot,S1,5,A5
99,pilot,S1,5,A4
100,pilot,S1,5,A1
101,pilot,S1,5,A2
102,pilot,S1,5,A3
103,pilot,S1,4,A0
104,pilot,S1,4,A4
105,pilot,S1,4,A3
106,pilot,S1,4,A5
107,pilot,S1,4,A1
108,pilot,S1,4,A2
109,pilot,S1,1,A1
110,pilot,S1,1,A3
111,pilot,S1,1,A0
112,pilot,S1,1,A5
113,pilot,S1,1,A2
114,pilot,S1,1,A4
115,pilot,S3,3,A4
116,pilot,S3,3,A1
117,pilot,S3,3,A0
118,pilot,S3,3,A5
119,pilot,S3,3,A2
120,pilot,S3,3,A3
