variant,scenario,repetition,detection_latency_s,recovery_time_s,unsafe_action,policy_violation,rollback,recovery_success,orchestration_decision_latency_ms,twin_prediction_error,risk_ranking_correct,data_origin
B0_ids_manual,S1,1,34.179,436.527,0,0,0,1,710.999,,0,synthetic_reference
B0_ids_manual,S1,2,64.681,418.911,0,0,0,0,693.228,,1,synthetic_reference
B0_ids_manual,S1,3,38.582,538.561,0,0,0,1,718.406,,0,synthetic_reference
B0_ids_manual,S1,4,44.124,472.36,0,0,0,1,712.639,,1,synthetic_reference
B0_ids_manual,S1,5,47.13,229.43,0,0,0,1,740.103,,0,synthetic_reference
B0_ids_manual,S1,6,44.858,337.72,0,0,0,1,792.55,,0,synthetic_reference
B0_ids_manual,S1,7,61.499,377.365,0,0,0,1,769.807,,0,synthetic_reference
B0_ids_manual,S1,8,83.751,323.829,0,0,0,1,1152.991,,1,synthetic_reference
B0_ids_manual,S1,9,30.619,410.897,0,0,0,1,813.632,,1,synthetic_reference
B0_ids_manual,S1,10,41.326,547.518,0,0,0,1,1112.791,,0,synthetic_reference
B0_ids_manual,S1,11,48.896,505.677,0,0,0,1,742.154,,1,synthetic_reference
B0_ids_manual,S1,12,43.848,499.713,0,0,0,1,925.109,,1,synthetic_reference
B0_ids_manual,S1,13,50.107,352.334,0,0,0,1,766.215,,0,synthetic_reference
B0_ids_manual,S1,14,38.087,355.171,0,0,0,1,878.878,,1,synthetic_reference
B0_ids_manual,S1,15,72.85,438.921,0,0,0,1,838.181,,1,synthetic_reference
B0_ids_manual,S1,16,38.246,518.312,0,0,0,1,749.945,,0,synthetic_reference
B0_ids_manual,S1,17,65.971,335.347,0,0,0,1,714.74,,1,synthetic_reference
B0_ids_manual,S1,18,53.998,282.223,0,0,0,1,728.546,,0,synthetic_reference
B0_ids_manual,S1,19,78.896,295.717,0,0,0,1,682.708,,1,synthetic_reference
B0_ids_manual,S1,20,58.353,363.467,0,0,0,1,810.11,,0,synthetic_reference
B0_ids_manual,S2,1,81.091,485.011,0,0,0,0,958.242,,0,synthetic_reference
B0_ids_manual,S2,2,82.829,326.544,0,0,0,1,742.381,,0,synthetic_reference
B0_ids_manual,S2,3,50.538,290.206,0,0,0,1,674.62,,1,synthetic_reference
B0_ids_manual,S2,4,57.842,423.68,0,0,0,1,763.818,,1,synthetic_reference
B0_ids_manual,S2,5,71.254,231.072,0,0,0,1,817.14,,0,synthetic_reference
B0_ids_manual,S2,6,55.439,319.602,0,0,0,1,998.769,,1,synthetic_reference
B0_ids_manual,S2,7,53.395,358.082,0,0,0,1,901.027,,0,synthetic_reference
B0_ids_manual,S2,8,94.378,384.37,0,0,0,1,618.004,,0,synthetic_reference
B0_ids_manual,S2,9,48.316,341.793,0,0,0,1,910.578,,1,synthetic_reference
B0_ids_manual,S2,10,71.668,159.652,0,0,0,1,680.669,,0,synthetic_reference
B0_ids_manual,S2,11,65.785,392.499,0,0,0,1,570.282,,0,synthetic_reference
B0_ids_manual,S2,12,63.358,394.496,0,0,0,1,628.893,,1,synthetic_reference
B0_ids_manual,S2,13,81.846,274.22,0,0,0,0,732.229,,1,synthetic_reference
B0_ids_manual,S2,14,89.571,354.029,0,0,0,1,957.13,,1,synthetic_reference
