t_s,availability,run_id,data_origin
0.0,0.99902,S1_baseline_r17,synthetic_reference
1.0,1.0,S1_baseline_r17,synthetic_reference
2.0,0.99776,S1_baseline_r17,synthetic_reference
3.0,0.99936,S1_baseline_r17,synthetic_reference
4.0,0.99742,S1_baseline_r17,synthetic_reference
5.0,0.9967,S1_baseline_r17,synthetic_reference
6.0,0.99858,S1_baseline_r17,synthetic_reference
7.0,0.99855,S1_baseline_r17,synthetic_reference
8.0,1.0,S1_baseline_r17,synthetic_reference
9.0,0.99899,S1_baseline_r17,synthetic_reference
10.0,1.0,S1_baseline_r17,synthetic_reference
11.0,1.0,S1_baseline_r17,synthetic_reference
12.0,1.0,S1_baseline_r17,synthetic_reference
13.0,1.0,S1_baseline_r17,synthetic_reference
14.0,0.99651,S1_baseline_r17,synthetic_reference
15.0,0.99581,S1_baseline_r17,synthetic_reference
16.0,1.0,S1_baseline_r17,synthetic_reference
17.0,0.9994,S1_baseline_r17,synthetic_reference
18.0,0.9983,S1_baseline_r17,synthetic_reference
19.0,0.99939,S1_baseline_r17,synthetic_reference
20.0,0.99885,S1_baseline_r17,synthetic_reference
21.0,1.0,S1_baseline_r17,synthetic_reference
22.0,0.9992,S1_baseline_r17,synthetic_reference
23.0,0.99861,S1_baseline_r17,synthetic_reference
24.0,0.99722,S1_baseline_r17,synthetic_reference
25.0,0.99758,S1_baseline_r17,synthetic_reference
26.0,0.99793,S1_baseline_r17,synthetic_reference
27.0,0.99723,S1_baseline_r17,synthetic_reference
28.0,0.99867,S1_baseline_r17,synthetic_reference
29.0,0.99874,S1_baseline_r17,synthetic_reference
30.0,1.0,S1_baseline_r17,synthetic_reference
31.0,0.99837,S1_baseline_r17,synthetic_reference
32.0,0.99408,S1_baseline_r17,synthetic_reference
33.0,1.0,S1_baseline_r17,synthetic_reference
34.0,0.99814,S1_baseline_r17,synthetic_reference
35.0,0.9915,S1_baseline_r17,synthetic_reference
36.0,0.99734,S1_baseline_r17,synthetic_reference
37.0,0.99662,S1_baseline_r17,synthetic_reference
38.0,0.99505,S1_baseline_r17,synthetic_reference
39.0,1.0,S1_baseline_r17,synthetic_reference
40.0,0.99892,S1_baseline_r17,synthetic_reference
41.0,0.99612,S1_baseline_r17,synthetic_reference
42.0,0.9932,S1_baseline_r17,synthetic_reference
43.0,0.99996,S1_baseline_r17,synthetic_reference
44.0,0.99824,S1_baseline_r17,synthetic_reference
45.0,0.99946,S1_baseline_r17,synthetic_reference
46.0,0.99861,S1_baseline_r17,synthetic_reference
47.0,0.99955,S1_baseline_r17,synthetic_reference
48.0,0.9955,S1_baseline_r17,synthetic_reference
49.0,0.99792,S1_baseline_r17,synthetic_reference
50.0,1.0,S1_baseline_r17,synthetic_reference
51.0,1.0,S1_baseline_r17,synthetic_reference
52.0,0.99889,S1_baseline_r17,synthetic_reference
53.0,1.0,S1_baseline_r17,synthetic_reference
54.0,0.99959,S1_baseline_r17,synthetic_reference
55.0,0.99793,S1_baseline_r17,synthetic_reference
56.0,0.99893,S1_baseline_r17,synthetic_reference
57.0,1.0,S1_baseline_r17,synthetic_reference
58.0,0.99498,S1_baseline_r17,synthetic_reference
59.0,0.99671,S1_baseline_r17,synthetic_reference
60.0,0.9995,S1_baseline_r17,synthetic_reference
61.0,1.0,S1_baseline_r17,synthetic_reference
62.0,1.0,S1_baseline_r17,synthetic_reference
63.0,1.0,S1_baseline_r17,synthetic_reference
64.0,0.99771,S1_baseline_r17,synthetic_reference
65.0,0.99617,S1_baseline_r17,synthetic_reference
66.0,0.99812,S1_baseline_r17,synthetic_reference
67.0,1.0,S1_baseline_r17,synthetic_reference
68.0,0.99952,S1_baseline_r17,synthetic_reference
69.0,0.99911,S1_baseline_r17,synthetic_reference
70.0,0.99974,S1_baseline_r17,synthetic_reference
71.0,0.99781,S1_baseline_r17,synthetic_reference
72.0,0.99449,S1_baseline_r17,synthetic_reference
73.0,1.0,S1_baseline_r17,synthetic_reference
74.0,0.99889,S1_baseline_r17,synthetic_reference
75.0,0.99433,S1_baseline_r17,synthetic_reference
76.0,1.0,S1_baseline_r17,synthetic_reference
77.0,0.99383,S1_baseline_r17,synthetic_reference
78.0,0.99789,S1_baseline_r17,synthetic_reference
79.0,1.0,S1_baseline_r17,synthetic_reference
80.0,0.99885,S1_baseline_r17,synthetic_reference
81.0,0.9994,S1_baseline_r17,synthetic_reference
82.0,1.0,S1_baseline_r17,synthetic_reference
83.0,1.0,S1_baseline_r17,synthetic_reference
84.0,0.99355,S1_baseline_r17,synthetic_reference
85.0,0.99828,S1_baseline_r17,synthetic_reference
86.0,1.0,S1_baseline_r17,synthetic_reference
87.0,1.0,S1_baseline_r17,synthetic_reference
88.0,1.0,S1_baseline_r17,synthetic_reference
89.0,1.0,S1_baseline_r17,synthetic_reference
90.0,0.99941,S1_baseline_r17,synthetic_reference
91.0,0.9944,S1_baseline_r17,synthetic_reference
92.0,0.99976,S1_baseline_r17,synthetic_reference
93.0,0.99962,S1_baseline_r17,synthetic_reference
94.0,1.0,S1_baseline_r17,synthetic_reference
95.0,0.9965,S1_baseline_r17,synthetic_reference
96.0,1.0,S1_baseline_r17,synthetic_reference
97.0,0.99954,S1_baseline_r17,synthetic_reference
98.0,0.99917,S1_baseline_r17,synthetic_reference
99.0,0.99768,S1_baseline_r17,synthetic_reference
100.0,0.99762,S1_baseline_r17,synthetic_reference
101.0,0.99914,S1_baseline_r17,synthetic_reference
102.0,0.99838,S1_baseline_r17,synthetic_reference
103.0,1.0,S1_baseline_r17,synthetic_reference
104.0,1.0,S1_baseline_r17,synthetic_reference
