t_s,availability,run_id,data_origin
0.0,1.0,S2_framework_r08,synthetic_reference
1.0,1.0,S2_framework_r08,synthetic_reference
2.0,0.99935,S2_framework_r08,synthetic_reference
3.0,1.0,S2_framework_r08,synthetic_reference
4.0,1.0,S2_framework_r08,synthetic_reference
5.0,0.99593,S2_framework_r08,synthetic_reference
6.0,0.99722,S2_framework_r08,synthetic_reference
7.0,0.99794,S2_framework_r08,synthetic_reference
8.0,0.99316,S2_framework_r08,synthetic_reference
9.0,0.9991,S2_framework_r08,synthetic_reference
10.0,0.99594,S2_framework_r08,synthetic_reference
11.0,0.9997,S2_framework_r08,synthetic_reference
12.0,1.0,S2_framework_r08,synthetic_reference
13.0,0.99844,S2_framework_r08,synthetic_reference
14.0,0.99798,S2_framework_r08,synthetic_reference
15.0,0.99957,S2_framework_r08,synthetic_reference
16.0,1.0,S2_framework_r08,synthetic_reference
17.0,0.99611,S2_framework_r08,synthetic_reference
18.0,0.99734,S2_framework_r08,synthetic_reference
19.0,0.99856,S2_framework_r08,synthetic_reference
20.0,0.99776,S2_framework_r08,synthetic_reference
21.0,0.99608,S2_framework_r08,synthetic_reference
22.0,0.9948,S2_framework_r08,synthetic_reference
23.0,0.99949,S2_framework_r08,synthetic_reference
24.0,0.99841,S2_framework_r08,synthetic_reference
25.0,0.99939,S2_framework_r08,synthetic_reference
26.0,0.99972,S2_framework_r08,synthetic_reference
27.0,0.99437,S2_framework_r08,synthetic_reference
28.0,1.0,S2_framework_r08,synthetic_reference
29.0,1.0,S2_framework_r08,synthetic_reference
30.0,1.0,S2_framework_r08,synthetic_reference
31.0,0.99867,S2_framework_r08,synthetic_reference
32.0,0.9963,S2_framework_r08,synthetic_reference
33.0,1.0,S2_framework_r08,synthetic_reference
34.0,0.99863,S2_framework_r08,synthetic_reference
35.0,0.9998,S2_framework_r08,synthetic_reference
36.0,0.99733,S2_framework_r08,synthetic_reference
37.0,1.0,S2_framework_r08,synthetic_reference
38.0,0.99482,S2_framework_r08,synthetic_reference
39.0,0.99853,S2_framework_r08,synthetic_reference
40.0,1.0,S2_framework_r08,synthetic_reference
