run_id,scenario,method,repetition,cpu_pct,ram_mb,network_kbps,storage_mb_per_h,integrity_verification_ms,graph_solver_ms,whatif_simulation_ms,end_to_end_orchestration_ms,data_origin
S1_baseline_r01,S1,baseline,1,39.967,2488.573,1895.716,95.105,,,,3276.315,synthetic_reference
S1_baseline_r02,S1,baseline,2,39.43,2522.586,1918.756,111.497,,,,3661.558,synthetic_reference
S1_baseline_r03,S1,baseline,3,40.88,2367.654,1905.959,118.377,,,,3772.519,synthetic_reference
S1_baseline_r04,S1,baseline,4,38.492,2329.76,1405.884,103.785,,,,3161.825,synthetic_reference
S1_baseline_r05,S1,baseline,5,39.968,2548.432,1927.522,89.169,,,,2971.129,synthetic_reference
S1_baseline_r06,S1,baseline,6,36.369,2437.192,1751.367,103.218,,,,2443.526,synthetic_reference
S1_baseline_r07,S1,baseline,7,39.156,2400.231,1807.816,96.159,,,,3534.828,synthetic_reference
S1_baseline_r08,S1,baseline,8,39.452,2399.379,1688.632,105.477,,,,4173.691,synthetic_reference
S1_baseline_r09,S1,baseline,9,38.053,2587.707,1732.308,70.369,,,,3770.174,synthetic_reference
S1_baseline_r10,S1,baseline,10,36.066,2411.39,1896.357,97.317,,,,3494.389,synthetic_reference
S1_baseline_r11,S1,baseline,11,39.241,2388.545,1912.788,90.431,,,,1866.248,synthetic_reference
S1_baseline_r12,S1,baseline,12,34.671,2385.084,1974.744,89.955,,,,2528.427,synthetic_reference
S1_baseline_r13,S1,baseline,13,34.01,2379.062,1936.764,103.65,,,,2937.203,synthetic_reference
S1_baseline_r14,S1,baseline,14,40.021,2614.409,1765.332,98.371,,,,1769.853,synthetic_reference
S1_baseline_r15,S1,baseline,15,37.635,2329.585,1920.282,106.522,,,,3565.725,synthetic_reference
S1_baseline_r16,S1,baseline,16,40.646,2384.876,2123.498,97.991,,,,3469.292,synthetic_reference
S1_baseline_r17,S1,baseline,17,39.537,2339.061,1799.159,82.711,,,,2853.888,synthetic_reference
S1_baseline_r18,S1,baseline,18,37.186,2359.601,2105.079,92.013,,,,2875.777,synthetic_reference
S1_baseline_r19,S1,baseline,19,37.017,2502.438,1630.898,105.219,,,,3230.297,synthetic_reference
S1_baseline_r20,S1,baseline,20,36.298,2406.695,1826.628,112.383,,,,1984.585,synthetic_reference
S2_baseline_r01,S2,baseline,1,37.938,2463.976,1826.99,82.756,,,,2840.609,synthetic_reference
S2_baseline_r02,S2,baseline,2,37.905,2409.877,1636.844,106.536,,,,2089.004,synthetic_reference
S2_baseline_r03,S2,baseline,3,39.722,2377.508,1840.895,97.9,,,,3395.031,synthetic_reference
S2_baseline_r04,S2,baseline,4,38.086,2274.909,2100.061,95.653,,,,3590.718,synthetic_reference
S2_baseline_r05,S2,baseline,5,41.936,2472.899,1958.296,93.636,,,,2904.214,synthetic_reference
S2_baseline_r06,S2,baseline,6,40.061,2591.611,2030.146,99.251,,,,4342.14,synthetic_reference
S2_baseline_r07,S2,baseline,7,40.551,2424.068,1904.747,95.572,,,,3633.264,synthetic_reference
S2_baseline_r08,S2,baseline,8,33.274,2351.337,1748.768,91.363,,,,3252.012,synthetic_reference
S2_baseline_r09,S2,baseline,9,39.074,2345.58,1762.821,96.164,,,,2872.687,synthetic_reference
S2_baseline_r10,S2,baseline,10,35.362,2528.883,1744.142,76.8,,,,2926.752,synthetic_reference
S2_baseline_r11,S2,baseline,11,40.664,2505.833,1667.832,102.072,,,,2481.464,synthetic_reference
S2_baseline_r12,S2,baseline,12,40.866,2363.918,1902.069,91.569,,,,2628.496,synthetic_reference
S2_baseline_r13,S2,baseline,13,35.756,2390.645,2360.464,92.086,,,,2261.408,synthetic_reference
S2_baseline_r14,S2,baseline,14,41.355,2345.99,1801.136,91.833,,,,2747.504,synthetic_reference
S2_baseline_r15,S2,baseline,15,38.398,2413.245,1907.591,94.323,,,,3398.486,synthetic_reference
S2_baseline_r16,S2,baseline,16,38.501,2334.718,1886.703,85.217,,,,3398.127,synthetic_reference
S2_baseline_r17,S2,baseline,17,43.423,2374.948,2022.086,97.893,,,,3268.016,synthetic_reference
S2_baseline_r18,S2,baseline,18,40.781,2345.228,1881.15,89.997,,,,2079.834,synthetic_reference
S2_baseline_r19,S2,baseline,19,36.379,2394.679,1830.837,97.509,,,,3733.932,synthetic_reference
S2_baseline_r20,S2,baseline,20,36.555,2525.157,1924.568,95.363,,,,3378.132,synthetic_reference
S3_baseline_r01,S3,baseline,1,36.299,2330.395,1738.218,100.666,,,,3246.678,synthetic_reference
S3_baseline_r02,S3,baseline,2,36.849,2397.127,1736.634,95.789,,,,3535.514,synthetic_reference
S3_baseline_r03,S3,baseline,3,37.315,2423.302,1762.936,90.226,,,,2383.629,synthetic_reference
S3_baseline_r04,S3,baseline,4,41.453,2400.205,2064.209,93.415,,,,3112.895,synthetic_reference
S3_baseline_r05,S3,baseline,5,42.76,2375.718,1710.19,101.834,,,,2491.49,synthetic_reference
S3_baseline_r06,S3,baseline,6,35.992,2340.529,2051.126,103.856,,,,2356.786,synthetic_reference
S3_baseline_r07,S3,baseline,7,33.849,2458.381,2026.736,79.466,,,,4041.485,synthetic_reference
S3_baseline_r08,S3,baseline,8,36.521,2406.983,1949.161,116.18,,,,2623.395,synthetic_reference
S3_baseline_r09,S3,baseline,9,35.294,2302.428,1980.693,92.008,,,,2825.345,synthetic_reference
S3_baseline_r10,S3,baseline,10,35.195,2502.461,1858.269,111.336,,,,3225.236,synthetic_reference
S3_baseline_r11,S3,baseline,11,41.518,2377.224,1980.907,82.996,,,,2381.661,synthetic_reference
S3_baseline_r12,S3,baseline,12,42.101,2441.521,1845.919,94.733,,,,2983.867,synthetic_reference
S3_baseline_r13,S3,baseline,13,37.139,2439.989,1835.811,108.499,,,,4319.566,synthetic_reference
S3_baseline_r14,S3,baseline,14,34.444,2382.605,1818.513,102.926,,,,3508.645,synthetic_reference
S3_baseline_r15,S3,baseline,15,38.371,2434.665,1722.23,90.936,,,,4112.438,synthetic_reference
S3_baseline_r16,S3,baseline,16,40.356,2425.731,1864.896,94.518,,,,4337.862,synthetic_reference
S3_baseline_r17,S3,baseline,17,41.614,2458.279,2007.71,102.065,,,,2705.894,synthetic_reference
S3_baseline_r18,S3,baseline,18,38.432,2296.889,1794.131,103.299,,,,2838.309,synthetic_reference
S3_baseline_r19,S3,baseline,19,36.539,2419.709,1793.979,90.872,,,,3268.116,synthetic_reference
S3_baseline_r20,S3,baseline,20,37.803,2305.823,1948.308,90.822,,,,3100.221,synthetic_reference
S4_baseline_r01,S4,baseline,1,34.275,2365.049,1685.347,83.595,,,,3143.355,synthetic_reference
S4_baseline_r02,S4,baseline,2,42.627,2361.959,1971.034,96.439,,,,1441.077,synthetic_reference
S4_baseline_r03,S4,baseline,3,39.43,2493.861,2066.932,90.017,,,,3700.773,synthetic_reference
S4_baseline_r04,S4,baseline,4,38.909,2268.87,1736.717,96.295,,,,4109.577,synthetic_reference
S4_baseline_r05,S4,baseline,5,39.93,2319.513,1905.81,100.404,,,,3344.471,synthetic_reference
S4_baseline_r06,S4,baseline,6,34.301,2267.268,1872.312,95.197,,,,2465.822,synthetic_reference
S4_baseline_r07,S4,baseline,7,39.371,2341.01,1996.936,83.751,,,,2933.09,synthetic_reference
S4_baseline_r08,S4,baseline,8,41.502,2461.101,1887.393,93.111,,,,2155.883,synthetic_reference
S4_baseline_r09,S4,baseline,9,39.115,2418.819,1742.15,99.522,,,,2564.721,synthetic_reference
S4_baseline_r10,S4,baseline,10,39.271,2431.826,1819.794,109.637,,,,2210.84,synthetic_reference
S4_baseline_r11,S4,baseline,11,42.35,2308.956,1896.125,98.547,,,,3168.191,synthetic_reference
S4_baseline_r12,S4,baseline,12,38.637,2420.82,1828.871,94.424,,,,3909.875,synthetic_reference
S4_baseline_r13,S4,baseline,13,37.027,2459.569,1868.233,105.959,,,,1979.256,synthetic_reference
S4_baseline_r14,S4,baseline,14,40.977,2463.231,1707.335,106.864,,,,2081.972,synthetic_reference
S4_baseline_r15,S4,baseline,15,38.369,2594.035,1903.374,92.998,,,,2759.903,synthetic_reference
S4_baseline_r16,S4,baseline,16,38.064,2311.294,2069.128,92.781,,,,2774.622,synthetic_reference
S4_baseline_r17,S4,baseline,17,35.887,2477.67,1981.595,93.016,,,,3706.379,synthetic_reference
S4_baseline_r18,S4,baseline,18,39.549,2539.446,1881.134,85.992,,,,3667.185,synthetic_reference
S4_baseline_r19,S4,baseline,19,40.413,2301.145,1994.45,80.938,,,,2621.258,synthetic_reference
S4_baseline_r20,S4,baseline,20,39.475,2457.329,2031.121,90.858,,,,3203.644,synthetic_reference
S1_framework_r01,S1,framework,1,43.262,2637.34,1766.236,92.776,10.55,18.37,233.898,243.745,synthetic_reference
S1_framework_r02,S1,framework,2,40.807,2538.11,2002.277,92.252,18.768,18.564,214.313,632.32,synthetic_reference
S1_framework_r03,S1,framework,3,41.329,2385.011,1959.724,79.313,23.123,39.019,186.907,423.92,synthetic_reference
S1_framework_r04,S1,framework,4,39.264,2508.406,1978.3,92.11,18.028,26.557,164.791,470.607,synthetic_reference
S1_framework_r05,S1,framework,5,36.12,2638.167,1929.875,98.523,13.829,25.936,107.768,336.256,synthetic_reference
S1_framework_r06,S1,framework,6,38.445,2381.361,1929.767,108.143,9.43,17.536,211.919,539.745,synthetic_reference
