run_id,scenario,method,repetition,attack_onset_s,detection_s,containment_s,recovery_s,disruption_onset_s,detection_latency_s,recovery_time_s,availability_floor,nri,recovery_censored,trace_file,data_origin
S1_baseline_r01,S1,baseline,1,120.0,145.865,230.308,590.0,125.0,25.865,470.0,0.62,0.8168,0,availability_traces/S1_baseline_r01.csv,synthetic_reference
S1_baseline_r02,S1,baseline,2,120.0,192.099,267.058,537.0,126.0,72.099,417.0,0.62,0.83282,0,availability_traces/S1_baseline_r02.csv,synthetic_reference
S1_baseline_r03,S1,baseline,3,120.0,170.324,222.709,412.0,125.0,50.324,292.0,0.62,0.88235,0,availability_traces/S1_baseline_r03.csv,synthetic_reference
S1_baseline_r04,S1,baseline,4,120.0,167.527,248.538,571.0,126.0,47.527,451.0,0.62,0.82203,0,availability_traces/S1_baseline_r04.csv,synthetic_reference
S1_baseline_r05,S1,baseline,5,120.0,170.135,231.982,464.0,125.0,50.135,344.0,0.62,0.8623,0,availability_traces/S1_baseline_r05.csv,synthetic_reference
S1_baseline_r06,S1,baseline,6,120.0,169.79,249.378,563.0,126.0,49.79,443.0,0.62,0.82475,0,availability_traces/S1_baseline_r06.csv,synthetic_reference
S1_baseline_r07,S1,baseline,7,120.0,164.056,251.234,605.0,125.0,44.056,485.0,0.62,0.80925,0,availability_traces/S1_baseline_r07.csv,synthetic_reference
S1_baseline_r08,S1,baseline,8,120.0,223.169,337.077,753.0,128.0,103.169,633.0,0.62,0.75088,0,availability_traces/S1_baseline_r08.csv,synthetic_reference
S1_baseline_r09,S1,baseline,9,120.0,147.844,193.105,372.0,123.0,27.844,252.0,0.62,0.89938,0,availability_traces/S1_baseline_r09.csv,synthetic_reference
S1_baseline_r10,S1,baseline,10,120.0,171.554,239.917,500.0,125.0,51.554,380.0,0.62,0.84855,0,availability_traces/S1_baseline_r10.csv,synthetic_reference
S1_baseline_r11,S1,baseline,11,120.0,170.518,256.178,596.0,125.0,50.518,476.0,0.62,0.81168,0,availability_traces/S1_baseline_r11.csv,synthetic_reference
S1_baseline_r12,S1,baseline,12,120.0,172.526,261.61,615.0,126.0,52.526,495.0,0.62,0.80463,0,availability_traces/S1_baseline_r12.csv,synthetic_reference
S1_baseline_r13,S1,baseline,13,120.0,162.721,226.683,476.0,124.0,42.721,356.0,0.62,0.8584,0,availability_traces/S1_baseline_r13.csv,synthetic_reference
S1_baseline_r14,S1,baseline,14,120.0,177.163,267.463,622.0,126.0,57.163,502.0,0.62,0.80136,0,availability_traces/S1_baseline_r14.csv,synthetic_reference
S1_baseline_r15,S1,baseline,15,120.0,143.258,233.317,621.0,125.0,23.258,501.0,0.62,0.80514,0,availability_traces/S1_baseline_r15.csv,synthetic_reference
S1_baseline_r16,S1,baseline,16,120.0,170.079,230.283,455.0,125.0,50.079,335.0,0.62,0.86594,0,availability_traces/S1_baseline_r16.csv,synthetic_reference
S1_baseline_r17,S1,baseline,17,120.0,171.702,230.628,448.0,125.0,51.702,328.0,0.62,0.86842,0,availability_traces/S1_baseline_r17.csv,synthetic_reference
S1_baseline_r18,S1,baseline,18,120.0,162.387,217.857,429.0,124.0,42.387,309.0,0.62,0.87657,0,availability_traces/S1_baseline_r18.csv,synthetic_reference
S1_baseline_r19,S1,baseline,19,120.0,179.356,237.182,442.0,125.0,59.356,322.0,0.62,0.86986,0,availability_traces/S1_baseline_r19.csv,synthetic_reference
S1_baseline_r20,S1,baseline,20,120.0,207.929,252.71,369.0,126.0,87.929,249.0,0.62,0.89512,0,availability_traces/S1_baseline_r20.csv,synthetic_reference
S1_framework_r01,S1,framework,1,120.0,128.417,147.401,226.0,125.0,8.417,106.0,0.88,0.98208,0,availability_traces/S1_framework_r01.csv,synthetic_reference
S1_framework_r02,S1,framework,2,120.0,129.607,149.535,231.0,125.0,9.607,111.0,0.88,0.98121,0,availability_traces/S1_framework_r02.csv,synthetic_reference
S1_framework_r03,S1,framework,3,120.0,127.034,150.209,249.0,125.0,7.034,129.0,0.88,0.97854,0,availability_traces/S1_framework_r03.csv,synthetic_reference
S1_framework_r04,S1,framework,4,120.0,133.727,153.487,230.0,126.0,13.727,110.0,0.88,0.98149,0,availability_traces/S1_framework_r04.csv,synthetic_reference
S1_framework_r05,S1,framework,5,120.0,129.951,150.347,234.0,125.0,9.951,114.0,0.88,0.98082,0,availability_traces/S1_framework_r05.csv,synthetic_reference
S1_framework_r06,S1,framework,6,120.0,131.638,148.93,217.0,125.0,11.638,97.0,0.88,0.98349,0,availability_traces/S1_framework_r06.csv,synthetic_reference
S1_framework_r07,S1,framework,7,120.0,129.604,153.916,256.0,125.0,9.604,136.0,0.88,0.97748,0,availability_traces/S1_framework_r07.csv,synthetic_reference
S1_framework_r08,S1,framework,8,120.0,125.623,146.315,235.0,125.0,5.623,115.0,0.88,0.98068,0,availability_traces/S1_framework_r08.csv,synthetic_reference
S1_framework_r09,S1,framework,9,120.0,129.29,150.619,239.0,125.0,9.29,119.0,0.88,0.98023,0,availability_traces/S1_framework_r09.csv,synthetic_reference
S1_framework_r10,S1,framework,10,120.0,128.367,148.411,232.0,125.0,8.367,112.0,0.88,0.98111,0,availability_traces/S1_framework_r10.csv,synthetic_reference
S1_framework_r11,S1,framework,11,120.0,125.918,145.076,227.0,124.0,5.918,107.0,0.88,0.98193,0,availability_traces/S1_framework_r11.csv,synthetic_reference
S1_framework_r12,S1,framework,12,120.0,124.942,148.616,252.0,125.0,4.942,132.0,0.88,0.97803,0,availability_traces/S1_framework_r12.csv,synthetic_reference
S1_framework_r13,S1,framework,13,120.0,130.803,147.519,213.0,125.0,10.803,93.0,0.88,0.98403,0,availability_traces/S1_framework_r13.csv,synthetic_reference
S1_framework_r14,S1,framework,14,120.0,133.706,162.546,281.0,127.0,13.706,161.0,0.88,0.97405,0,availability_traces/S1_framework_r14.csv,synthetic_reference
S1_framework_r15,S1,framework,15,120.0,130.267,155.734,262.0,126.0,10.267,142.0,0.88,0.97662,0,availability_traces/S1_framework_r15.csv,synthetic_reference
S1_framework_r16,S1,framework,16,120.0,127.063,145.316,222.0,125.0,7.063,102.0,0.88,0.98272,0,availability_traces/S1_framework_r16.csv,synthetic_reference
S1_framework_r17,S1,framework,17,120.0,131.985,151.816,231.0,125.0,11.985,111.0,0.88,0.98139,0,availability_traces/S1_framework_r17.csv,synthetic_reference
S1_framework_r18,S1,framework,18,120.0,130.591,149.584,226.0,125.0,10.591,106.0,0.88,0.98213,0,availability_traces/S1_framework_r18.csv,synthetic_reference
S1_framework_r19,S1,framework,19,120.0,127.315,151.485,255.0,125.0,7.315,135.0,0.88,0.97771,0,availability_traces/S1_framework_r19.csv,synthetic_reference
S1_framework_r20,S1,framework,20,120.0,128.153,149.959,242.0,125.0,8.153,122.0,0.88,0.97957,0,availability_traces/S1_framework_r20.csv,synthetic_reference
S2_baseline_r01,S2,baseline,1,120.0,225.291,296.408,516.0,133.0,105.291,396.0,0.78,0.90035,0,availability_traces/S2_baseline_r01.csv,synthetic_reference
S2_baseline_r02,S2,baseline,2,120.0,211.731,293.924,577.0,132.0,91.731,457.0,0.78,0.88598,0,availability_traces/S2_baseline_r02.csv,synthetic_reference
S2_baseline_r03,S2,baseline,3,120.0,238.321,294.854,435.0,132.0,118.321,315.0,0.78,0.91913,0,availability_traces/S2_baseline_r03.csv,synthetic_reference
S2_baseline_r04,S2,baseline,4,120.0,188.393,245.314,437.0,129.0,68.393,317.0,0.78,0.92025,0,availability_traces/S2_baseline_r04.csv,synthetic_reference
S2_baseline_r05,S2,baseline,5,120.0,172.685,209.67,326.0,127.0,52.685,206.0,0.78,0.9472,0,availability_traces/S2_baseline_r05.csv,synthetic_reference
S2_baseline_r06,S2,baseline,6,120.0,208.055,284.363,544.0,132.0,88.055,424.0,0.78,0.89414,0,availability_traces/S2_baseline_r06.csv,synthetic_reference
S2_baseline_r07,S2,baseline,7,120.0,171.286,228.282,437.0,128.0,51.286,317.0,0.78,0.92065,0,availability_traces/S2_baseline_r07.csv,synthetic_reference
S2_baseline_r08,S2,baseline,8,120.0,165.728,231.919,488.0,128.0,45.728,368.0,0.78,0.90865,0,availability_traces/S2_baseline_r08.csv,synthetic_reference
S2_baseline_r09,S2,baseline,9,120.0,154.971,215.113,455.0,128.0,34.971,335.0,0.78,0.91694,0,availability_traces/S2_baseline_r09.csv,synthetic_reference
S2_baseline_r10,S2,baseline,10,120.0,178.91,222.538,363.0,129.0,58.91,243.0,0.78,0.93828,0,availability_traces/S2_baseline_r10.csv,synthetic_reference
S2_baseline_r11,S2,baseline,11,120.0,183.969,250.188,488.0,129.0,63.969,368.0,0.78,0.908,0,availability_traces/S2_baseline_r11.csv,synthetic_reference
S2_baseline_r12,S2,baseline,12,120.0,163.989,222.883,448.0,128.0,43.989,328.0,0.78,0.9184,0,availability_traces/S2_baseline_r12.csv,synthetic_reference
S2_baseline_r13,S2,baseline,13,120.0,166.088,240.711,535.0,129.0,46.088,415.0,0.78,0.89737,0,availability_traces/S2_baseline_r13.csv,synthetic_reference
S2_baseline_r14,S2,baseline,14,120.0,201.066,271.94,514.0,132.0,81.066,394.0,0.78,0.90152,0,availability_traces/S2_baseline_r14.csv,synthetic_reference
S2_baseline_r15,S2,baseline,15,120.0,251.376,356.652,705.0,137.0,131.376,585.0,0.78,0.8544,0,availability_traces/S2_baseline_r15.csv,synthetic_reference
S2_baseline_r16,S2,baseline,16,120.0,176.782,220.919,366.0,128.0,56.782,246.0,0.78,0.93743,0,availability_traces/S2_baseline_r16.csv,synthetic_reference
S2_baseline_r17,S2,baseline,17,120.0,176.43,234.021,440.0,128.0,56.43,320.0,0.78,0.91962,0,availability_traces/S2_baseline_r17.csv,synthetic_reference
S2_baseline_r18,S2,baseline,18,120.0,172.256,235.623,473.0,129.0,52.256,353.0,0.78,0.91212,0,availability_traces/S2_baseline_r18.csv,synthetic_reference
S2_baseline_r19,S2,baseline,19,120.0,203.563,279.725,544.0,132.0,83.563,424.0,0.78,0.89435,0,availability_traces/S2_baseline_r19.csv,synthetic_reference
S2_baseline_r20,S2,baseline,20,120.0,157.111,212.571,429.0,127.0,37.111,309.0,0.78,0.92303,0,availability_traces/S2_baseline_r20.csv,synthetic_reference
S2_framework_r01,S2,framework,1,120.0,127.796,144.821,215.0,132.0,7.796,95.0,0.94,0.98934,0,availability_traces/S2_framework_r01.csv,synthetic_reference
S2_framework_r02,S2,framework,2,120.0,127.181,151.929,258.0,137.0,7.181,138.0,0.94,0.98524,0,availability_traces/S2_framework_r02.csv,synthetic_reference
S2_framework_r03,S2,framework,3,120.0,127.196,141.347,199.0,131.0,7.196,79.0,0.94,0.99074,0,availability_traces/S2_framework_r03.csv,synthetic_reference
S2_framework_r04,S2,framework,4,120.0,127.286,143.472,210.0,131.0,7.286,90.0,0.94,0.98959,0,availability_traces/S2_framework_r04.csv,synthetic_reference
S2_framework_r05,S2,framework,5,120.0,130.079,146.337,211.0,131.0,10.079,91.0,0.94,0.98961,0,availability_traces/S2_framework_r05.csv,synthetic_reference
S2_framework_r06,S2,framework,6,120.0,129.41,142.874,195.0,131.0,9.41,75.0,0.94,0.99121,0,availability_traces/S2_framework_r06.csv,synthetic_reference
S2_framework_r07,S2,framework,7,120.0,127.173,146.162,226.0,133.0,7.173,106.0,0.94,0.98816,0,availability_traces/S2_framework_r07.csv,synthetic_reference
S2_framework_r08,S2,framework,8,120.0,125.254,139.307,199.0,131.0,5.254,79.0,0.94,0.99078,0,availability_traces/S2_framework_r08.csv,synthetic_reference
S2_framework_r09,S2,framework,9,120.0,125.412,139.837,201.0,132.0,5.412,81.0,0.94,0.99073,0,availability_traces/S2_framework_r09.csv,synthetic_reference
S2_framework_r10,S2,framework,10,120.0,126.893,139.146,189.0,132.0,6.893,69.0,0.94,0.99189,0,availability_traces/S2_framework_r10.csv,synthetic_reference
S2_framework_r11,S2,framework,11,120.0,126.397,143.056,213.0,130.0,6.397,93.0,0.94,0.98935,0,availability_traces/S2_framework_r11.csv,synthetic_reference
S2_framework_r12,S2,framework,12,120.0,128.285,152.825,257.0,133.0,8.285,137.0,0.94,0.98515,0,availability_traces/S2_framework_r12.csv,synthetic_reference
