t_rel_s,mean,sd,ci95_lo,ci95_hi,n,scenario,method
-60.0,0.9981580000000001,0.00177381717446333,0.9973278280079961,0.9989881719920041,20,S1,baseline
-59.0,0.997829,0.0022877405539320356,0.9967583044626087,0.9988996955373912,20,S1,baseline
-58.0,0.9985405000000002,0.00147390092861374,0.9978506931317732,0.9992303068682271,20,S1,baseline
-57.0,0.998206,0.002105942469349663,0.9972203885852529,0.9991916114147472,20,S1,baseline
-56.0,0.997899,0.0022153172518435803,0.9968621996113466,0.9989358003886534,20,S1,baseline
-55.0,0.9988104999999997,0.0015216835378861428,0.998098330182257,0.9995226698177424,20,S1,baseline
-54.0,0.99794,0.001955125517575197,0.9970249730914157,0.9988550269085844,20,S1,baseline
-53.0,0.9977750000000001,0.002521544013204276,0.9965948810753986,0.9989551189246015,20,S1,baseline
-52.0,0.997876,0.001954305368586031,0.996961356932958,0.998790643067042,20,S1,baseline
-51.0,0.9986029999999999,0.0015260754620232382,0.9978887746984891,0.9993172253015107,20,S1,baseline
-50.0,0.997727,0.001971387702529415,0.9968043621545772,0.9986496378454228,20,S1,baseline
-49.0,0.9982715000000002,0.0017726081735234401,0.9974418938378535,0.9991011061621469,20,S1,baseline
-48.0,0.9984430000000002,0.0016225454336352295,0.9976836253619881,0.9992023746380123,20,S1,baseline
-47.0,0.9986160000000002,0.001915956268042841,0.9977193048644856,0.9995126951355148,20,S1,baseline
-46.0,0.9985155000000001,0.0017249301282569157,0.9977082078499081,0.9993227921500921,20,S1,baseline
-45.0,0.9986219999999999,0.0016576222666661344,0.9978462088987977,0.9993977911012021,20,S1,baseline
-44.0,0.9983595,0.002176062293516246,0.9973410714973672,0.9993779285026327,20,S1,baseline
-43.0,0.9983359999999999,0.0022514262146470644,0.9972823000965536,0.9993896999034462,20,S1,baseline
-42.0,0.9989215,0.001424386386816217,0.9982548666506617,0.9995881333493384,20,S1,baseline
-41.0,0.9977029999999999,0.002339345612502957,0.9966081525517533,0.9987978474482465,20,S1,baseline
-40.0,0.9987185000000001,0.0013661019265355792,0.9980791446177434,0.9993578553822567,20,S1,baseline
-39.0,0.9982534999999997,0.001843581397286559,0.9973906773466618,0.9991163226533376,20,S1,baseline
-38.0,0.9985950000000001,0.0013706913353640588,0.9979534967082948,0.9992365032917054,20,S1,baseline
-37.0,0.9982904999999999,0.0014458960980360148,0.9976137997959327,0.998967200204067,20,S1,baseline
-36.0,0.998559,0.0018233944631979736,0.997705625122637,0.9994123748773629,20,S1,baseline
-35.0,0.9984225,0.0023313715750717676,0.9973313845161486,0.9995136154838514,20,S1,baseline
-34.0,0.9984315,0.0018061744247529488,0.9975861843487084,0.9992768156512917,20,S1,baseline
-33.0,0.999049,0.0014811087596441855,0.9983558197630118,0.9997421802369881,20,S1,baseline
-32.0,0.999109,0.001247987432460346,0.9985249239025775,0.9996930760974225,20,S1,baseline
