run_id,scenario,method,repetition,t_dis_s,window_start_s,window_end_s,recovery_time_s,nri,stored_recovery_time_s,stored_nri,delta_nri,delta_recovery_s
S1_baseline_r01,S1,baseline,1,125.0,125.0,725.0,470.0,0.8168005083333334,470.0,0.8168,5.083333334265916e-07,0.0
S1_baseline_r02,S1,baseline,2,126.0,126.0,726.0,417.0,0.8328151250000001,417.0,0.83282,-4.8749999999042615e-06,0.0
S1_baseline_r03,S1,baseline,3,125.0,125.0,725.0,292.0,0.8823523083333333,292.0,0.88235,2.3083333333673295e-06,0.0
S1_baseline_r04,S1,baseline,4,126.0,126.0,726.0,451.0,0.8220258166666667,451.0,0.82203,-4.183333333296346e-06,0.0
S1_baseline_r05,S1,baseline,5,125.0,125.0,725.0,344.0,0.8622990416666668,344.0,0.8623,-9.583333331342203e-07,0.0
S1_baseline_r06,S1,baseline,6,126.0,126.0,726.0,443.0,0.8247459583333333,443.0,0.82475,-4.041666666676491e-06,0.0
S1_baseline_r07,S1,baseline,7,125.0,125.0,725.0,485.0,0.8092509250000001,485.0,0.80925,9.250000000404768e-07,0.0
S1_baseline_r08,S1,baseline,8,128.0,128.0,728.0,633.0,0.750883525,633.0,0.75088,3.525000000004219e-06,0.0
S1_baseline_r09,S1,baseline,9,123.0,123.0,723.0,252.0,0.8993825,252.0,0.89938,2.500000000016378e-06,0.0
S1_baseline_r10,S1,baseline,10,125.0,125.0,725.0,380.0,0.848550375,380.0,0.84855,3.7499999994139444e-07,0.0
S1_baseline_r11,S1,baseline,11,125.0,125.0,725.0,476.0,0.8116836500000001,476.0,0.81168,3.6500000001327138e-06,0.0
S1_baseline_r12,S1,baseline,12,126.0,126.0,726.0,495.0,0.8046342083333333,495.0,0.80463,4.208333333366454e-06,0.0
S1_baseline_r13,S1,baseline,13,124.0,124.0,724.0,356.0,0.8584039250000001,356.0,0.8584,3.9250000000157215e-06,0.0
S1_baseline_r14,S1,baseline,14,126.0,126.0,726.0,502.0,0.8013565,502.0,0.80136,-3.4999999999341114e-06,0.0
S1_baseline_r15,S1,baseline,15,125.0,125.0,725.0,501.0,0.8051395416666666,501.0,0.80514,-4.5833333339739823e-07,0.0
S1_baseline_r16,S1,baseline,16,125.0,125.0,725.0,335.0,0.8659436583333333,335.0,0.86594,3.6583333332673718e-06,0.0
S1_baseline_r17,S1,baseline,17,125.0,125.0,725.0,328.0,0.8684190916666668,328.0,0.86842,-9.083333332160493e-07,0.0
S1_baseline_r18,S1,baseline,18,124.0,124.0,724.0,309.0,0.8765723083333334,309.0,0.87657,2.308333333478352e-06,0.0
S1_baseline_r19,S1,baseline,19,125.0,125.0,725.0,322.0,0.8698623416666668,322.0,0.86986,2.34166666679414e-06,0.0
S1_baseline_r20,S1,baseline,20,126.0,126.0,726.0,249.0,0.8951203166666666,249.0,0.89512,3.1666666655549847e-07,0.0
S1_framework_r01,S1,framework,1,125.0,125.0,725.0,106.0,0.9820757083333335,106.0,0.98208,-4.291666666489391e-06,0.0
S1_framework_r02,S1,framework,2,125.0,125.0,725.0,111.0,0.9812135750000001,111.0,0.98121,3.5750000000334126e-06,0.0
S1_framework_r03,S1,framework,3,125.0,125.0,725.0,129.0,0.9785385666666665,129.0,0.97854,-1.4333333334670684e-06,0.0
S1_framework_r04,S1,framework,4,126.0,126.0,726.0,110.0,0.9814859083333333,110.0,0.98149,-4.0916666667056845e-06,0.0
S1_framework_r05,S1,framework,5,125.0,125.0,725.0,114.0,0.9808191916666668,114.0,0.98082,-8.083333332686848e-07,0.0
S1_framework_r06,S1,framework,6,125.0,125.0,725.0,97.0,0.9834855999999998,97.0,0.98349,-4.400000000126525e-06,0.0
