scenario,corruption_fraction,observation_unit,n,positives,negatives,tp,tn,fp,fn,accuracy,accuracy_ci95_lo,accuracy_ci95_hi,recall,recall_ci95_lo,recall_ci95_hi,specificity,specificity_ci95_lo,specificity_ci95_hi,precision,precision_ci95_lo,precision_ci95_hi,f1,mcc,fpr,fpr_ci95_lo,fpr_ci95_hi,fnr,fnr_ci95_lo,fnr_ci95_hi
S1,0.01,challenged_telemetry_block,1001,101,900,95,888,12,6,0.9820179820179821,0.9717548087382294,0.9885956938500567,0.9405940594059405,0.8764089440526284,0.9724918724861122,0.9866666666666667,0.9768399541451038,0.9923565697043102,0.8878504672897196,0.8141461014738314,0.9346711811845225,0.9134615384615384,0.9039057708597111,0.013333333333333334,0.007643430295689834,0.023160045854896182,0.0594059405940594,0.027508127513887766,0.12359105594737155
S1,0.05,challenged_telemetry_block,1046,146,900,136,896,4,10,0.9866156787762906,0.9776595063740532,0.9920107152073441,0.9315068493150684,0.8785152243518337,0.9623735456298861,0.9955555555555555,0.9886284176965796,0.9982703257665222,0.9714285714285714,0.9288427879216012,0.9888342231586664,0.9510489510489512,0.9435795836672467,0.0044444444444444444,0.0017296742334777472,0.011371582303420343,0.0684931506849315,0.037626454370113936,0.12148477564816626
S1,0.1,challenged_telemetry_block,1102,202,900,193,889,11,9,0.9818511796733213,0.9721335301207298,0.9882211315073052,0.9554455445544554,0.9175064495545565,0.9763853886308697,0.9877777777777778,0.9782474933211758,0.9931618079799491,0.946078431372549,0.9060398697822941,0.9696275790158414,0.9507389162561576,0.9396329074706878,0.012222222222222223,0.0068381920200508844,0.02175250667882414,0.04455445544554455,0.02361461136913033,0.08249355044544339
S1,0.2,challenged_telemetry_block,1215,315,900,314,890,10,1,0.9909465020576131,0.9838611142920595,0.9949372284836306,0.9968253968253968,0.9822397268794986,0.999439384606504,0.9888888888888889,0.9796684486923745,0.9939536300604616,0.9691358024691358,0.9441270806915557,0.9831503938949221,0.9827856025039124,0.9768237835887823,0.011111111111111112,0.006046369939538421,0.020331551307625612,0.0031746031746031746,0.0005606153934957486,0.017760273120501317
S2,0.01,challenged_telemetry_block,1170,270,900,253,889,11,17,0.976068376068376,0.965629511094216,0.9833913227066159,0.937037037037037,0.9014916170261279,0.9603209113482846,0.9877777777777778,0.9782474933211758,0.9931618079799491,0.9583333333333334,0.9269423122641641,0.9765772588490084,0.947565543071161,0.9321629829774706,0.012222222222222223,0.0068381920200508844,0.02175250667882414,0.06296296296296296,0.039679088651715363,0.09850838297387203
S2,0.05,challenged_telemetry_block,1290,390,900,382,885,15,8,0.982170542635659,0.9733876453945607,0.9880902787507024,0.9794871794871794,0.9600507084946981,0.9895699868985528,0.9833333333333333,0.9726840346897158,0.9898741568045651,0.9622166246851386,0.9386026867419393,0.976971268805827,0.9707750952986023,0.9580273546760399,0.016666666666666666,0.01012584319543478,0.027315965310284206,0.020512820512820513,0.010430013101447182,0.03994929150530177
S2,0.1,challenged_telemetry_block,1440,540,900,531,890,10,9,0.9868055555555556,0.9794838263449477,0.991536912417555,0.9833333333333333,0.9686312423104654,0.9912073127197877,0.9888888888888889,0.9796684486923745,0.9939536300604616,0.9815157116451017,0.9663121729798932,0.9899293016092489,0.9824236817761332,0.9718633389598426,0.011111111111111112,0.006046369939538421,0.020331551307625612,0.016666666666666666,0.008792687280212286,0.03136875768953451
S2,0.2,challenged_telemetry_block,1740,840,900,840,889,11,0,0.9936781609195402,0.9887149787735313,0.9964663238672661,1.0,0.9954476533707379,1.0,0.9877777777777778,0.9782474933211758,0.9931618079799491,0.9870740305522914,0.9770032082758936,0.9927672578683854,0.9934949733885274,0.9874258414691691,0.012222222222222223,0.0068381920200508844,0.02175250667882414,0.0,0.0,0.004552346629262249
S3,0.01,challenged_telemetry_block,968,68,900,64,894,6,4,0.9896694214876033,0.9810886635253985,0.9943790852475082,0.9411764705882353,0.8582831156689853,0.9768892344603642,0.9933333333333333,0.9855320582967897,0.9969411302628901,0.9142857142857143,0.8253432750766051,0.9601233303548878,0.9275362318840579,0.9220880307196673,0.006666666666666667,0.003058869737109897,0.014467941703210176,0.058823529411764705,0.023110765539635758,0.1417168843310147
S3,0.05,challenged_telemetry_block,998,98,900,88,892,8,10,0.9819639278557114,0.971670449380917,0.9885613233512744,0.8979591836734694,0.8222723377188418,0.9436239966741063,0.9911111111111112,0.9825585198197871,0.9954891138364709,0.9166666666666666,0.8441009676029043,0.9571693758490329,0.9072164948453607,0.8972872719479028,0.008888888888888889,0.004510886163529186,0.017441480180212864,0.10204081632653061,0.05637600332589365,0.17772766228115824
S3,0.1,challenged_telemetry_block,1035,135,900,128,894,6,7,0.9874396135265701,0.9786291720972426,0.9926451175767845,0.9481481481481482,0.8968387853624143,0.9746588280144709,0.9933333333333333,0.9855320582967897,0.9969411302628901,0.9552238805970149,0.9057552772644654,0.9793195111466114,0.9516728624535316,0.9444633861275793,0.006666666666666667,0.003058869737109897,0.014467941703210176,0.05185185185185185,0.025341171985529154,0.10316121463758576
S3,0.2,challenged_telemetry_block,1110,210,900,206,895,5,4,0.9918918918918919,0.98466237382689,0.9957284989964115,0.9809523809523809,0.952056618075792,0.9925684378605163,0.9944444444444445,0.9870612324352486,0.9976247335761423,0.976303317535545,0.9457369201453067,0.9898366935479135,0.9786223277909738,0.9736237658430614,0.005555555555555556,0.002375266423857666,0.012938767564751416,0.01904761904761905,0.0074315621394835905,0.04794338192420791
S4,0.01,challenged_telemetry_block,979,79,900,73,891,9,6,0.9846782431052093,0.9748745965921215,0.9906931371283298,0.9240506329113924,0.8440458309717235,0.9647279515496333,0.99,0.9811046784124099,0.994730177792137,0.8902439024390244,0.804387633588628,0.9411728552386109,0.9068322981366461,0.8986734398064931,0.01,0.005269822207862955,0.018895321587590087,0.0759493670886076,0.03527204845036669,0.15595416902827658
S4,0.05,challenged_telemetry_block,1014,114,900,109,891,9,5,0.9861932938856016,0.9769586232256956,0.9917580579973443,0.956140350877193,0.9014191976891217,0.981122490446672,0.99,0.9811046784124099,0.994730177792137,0.923728813559322,0.8613819052612005,0.9593567904824484,0.939655172413793,0.9320393246592267,0.01,0.005269822207862955,0.018895321587590087,0.043859649122807015,0.018877509553328058,0.09858080231087835
S4,0.1,challenged_telemetry_block,1058,158,900,152,895,5,6,0.9896030245746692,0.981478839100057,0.994184704072015,0.9620253164556962,0.9196357572478628,0.982481667198706,0.9944444444444445,0.9870612324352486,0.9976247335761423,0.9681528662420382,0.9276218505242199,0.9863216132930005,0.965079365079365,0.9589783900142851,0.005555555555555556,0.002375266423857666,0.012938767564751416,0.0379746835443038,0.017518332801294084,0.08036424275213717
S4,0.2,challenged_telemetry_block,1145,245,900,245,896,4,0,0.9965065502183406,0.9910520429707017,0.9986406524575695,1.0,0.984562625380435,1.0,0.9955555555555555,0.9886284176965796,0.9982703257665222,0.9839357429718876,0.9594308181544798,0.9937356487852175,0.9919028340080972,0.9897285967503141,0.0044444444444444444,0.0017296742334777472,0.011371582303420343,0.0,0.0,0.015437374619565052
S1,all,challenged_telemetry_block,4364,764,3600,738,3563,37,26,0.9855637030247479,0.9815735661526138,0.988699746181449,0.9659685863874345,0.9506029107602243,0.9766718434495061,0.9897222222222222,0.9858662433711629,0.9925341774824872,0.952258064516129,0.9348877206040811,0.9651670878051168,0.9590643274853801,0.950337263058302,0.010277777777777778,0.007465822517512722,0.014133756628837027,0.034031413612565446,0.023328156550493914,0.04939708923977565
S2,all,challenged_telemetry_block,5640,2040,3600,2006,3553,47,34,0.9856382978723405,0.9821861943879299,0.9884293057052732,0.9833333333333333,0.9768009590270221,0.9880488298298167,0.9869444444444444,0.9826831890750829,0.9901675980811557,0.9771066731612275,0.9696908930302042,0.9827403172601639,0.9802101148301979,0.9689519831889434,0.013055555555555556,0.009832401918844259,0.017316810924917006,0.016666666666666666,0.011951170170183323,0.02319904097297794
S3,all,challenged_telemetry_block,4111,511,3600,486,3575,25,25,0.9878375091218682,0.9840021785198565,0.9907619867924919,0.9510763209393346,0.9287762881125069,0.9666449956667277,0.9930555555555556,0.9897682636246635,0.9952917176658805,0.9510763209393346,0.9287762881125069,0.9666449956667277,0.9510763209393346,0.9441318764948902,0.006944444444444444,0.004708282334119401,0.010231736375336531,0.04892367906066536,0.03335500433327221,0.07122371188749294
S4,all,challenged_telemetry_block,4196,596,3600,579,3573,27,17,0.9895138226882746,0.9859530009331211,0.9921791595969377,0.9714765100671141,0.9547978935116433,0.9821163389672328,0.9925,0.9891096920347289,0.9948403625163329,0.9554455445544554,0.9359519718303402,0.9692013135291901,0.9633943427620631,0.9573203592974919,0.0075,0.005159637483667146,0.010890307965271087,0.028523489932885907,0.017883661032767263,0.045202106488356646
pooled,all,challenged_telemetry_block,18311,3911,14400,3809,14264,136,102,0.9870023483152204,0.9852566686016234,0.9885437347543339,0.973919713628228,0.9684406724586432,0.978468682362764,0.9905555555555555,0.9888397555797941,0.9920096963105713,0.9655259822560203,0.9593647445941613,0.9707814864720328,0.9697046843177188,0.9614458191904299,0.009444444444444445,0.007990303689428593,0.011160244420205941,0.026080286371771927,0.021531317637236053,0.031559327541356756
