seed,config,pd,far,precision,recall,macro_f1,ece,mce,brier,mota,motp,idf1,fragmentation,id_switches,rmse
20260730,full,0.6065,0.8949,0.8786,0.8105,0.8249,0.2019,0.3153,0.2143,0.3195,15.5987,0.7127,6941.0000,12680.0000,15.5987
20260730,no_quality,0.6065,0.8949,0.8811,0.8090,0.8234,0.1957,0.3070,0.2107,0.3848,15.1351,0.7324,6856.0000,10827.0000,15.1351
20260730,no_cross_attn,0.6065,0.8949,0.7262,0.8457,0.7535,0.2455,0.3657,0.4048,0.3195,15.5987,0.7127,6941.0000,12680.0000,15.5987
20260730,no_ensemble,0.6065,0.8949,0.8568,0.8006,0.8099,0.1815,0.2786,0.2169,0.3195,15.5987,0.7127,6941.0000,12680.0000,15.5987
20260730,no_temp,0.6065,0.8949,0.8786,0.8106,0.8250,0.1363,0.2455,0.1778,0.3195,15.5987,0.7127,6941.0000,12680.0000,15.5987
20260730,no_semantic,0.6065,0.8949,0.8786,0.8105,0.8249,0.2019,0.3153,0.2143,0.3195,15.5987,0.7127,6941.0000,12680.0000,15.5987
20260730,no_covinfl,0.6065,0.8949,0.8786,0.8105,0.8249,0.2019,0.3153,0.2143,0.2042,16.3982,0.6715,6833.0000,15282.0000,16.3982
20260730,no_uncertainty,0.6065,0.8949,0.8568,0.8006,0.8099,0.1141,0.2100,0.1831,0.3195,15.5987,0.7127,6941.0000,12680.0000,15.5987
20260731,full,0.6069,0.8824,0.8740,0.7985,0.8110,0.2012,0.2993,0.2245,0.3173,15.6402,0.7130,7057.0000,12940.0000,15.6402
20260731,no_quality,0.6069,0.8824,0.8753,0.7979,0.8102,0.1946,0.2943,0.2204,0.3824,15.2098,0.7327,6919.0000,11111.0000,15.2098
20260731,no_cross_attn,0.6069,0.8824,0.7077,0.8178,0.7337,0.2391,0.3763,0.4159,0.3173,15.6402,0.7130,7057.0000,12940.0000,15.6402
20260731,no_ensemble,0.6069,0.8824,0.8479,0.7811,0.7879,0.1772,0.2731,0.2263,0.3173,15.6402,0.7130,7057.0000,12940.0000,15.6402
20260731,no_temp,0.6069,0.8824,0.8739,0.7985,0.8109,0.1351,0.2409,0.1881,0.3173,15.6402,0.7130,7057.0000,12940.0000,15.6402
