seed,pd,far,precision,recall,macro_f1,ece,mce,brier,mota,motp,idf1,fragmentation,id_switches,rmse,lat_mean,lat_p95,pd_ci_lo,pd_ci_hi,f1_ci_lo,f1_ci_hi,ece_ci_lo,ece_ci_hi,mota_ci_lo,mota_ci_hi
20260730,0.6065,0.8949,0.8786,0.8105,0.8249,0.2019,0.3153,0.2143,0.3195,15.5987,0.7127,6941.0000,12680.0000,15.5987,3.0041,4.6851,0.5714,0.5900,0.7713,0.7865,0.1648,0.1738,0.3155,0.3331
20260731,0.6069,0.8824,0.8740,0.7985,0.8110,0.2012,0.2993,0.2245,0.3173,15.6402,0.7130,7057.0000,12940.0000,15.6402,2.9988,4.6802,0.6010,0.6110,0.8554,0.8686,0.2017,0.2067,0.2900,0.3027
20260732,0.5928,0.8948,0.8817,0.8132,0.8270,0.2054,0.3196,0.2142,0.3144,15.7260,0.7078,7069.0000,12627.0000,15.7260,2.9659,4.5462,0.5911,0.6057,0.8277,0.8420,0.1923,0.2005,0.3028,0.3169
20260733,0.6155,0.8733,0.8852,0.8092,0.8287,0.2065,0.3319,0.2092,0.3054,15.7442,0.7092,6715.0000,13168.0000,15.7442,3.0032,4.7122,0.5819,0.5942,0.8269,0.8397,0.2009,0.2085,0.3209,0.3305
20260734,0.6076,0.8760,0.8827,0.8133,0.8322,0.2090,0.3277,0.2099,0.3068,15.9350,0.7079,7485.0000,13243.0000,15.9350,2.9657,4.6014,0.6234,0.6330,0.8463,0.8638,0.2102,0.2172,0.2814,0.2947
20260735,0.6019,0.8853,0.8762,0.7963,0.8152,0.2020,0.3242,0.2078,0.3034,15.7080,0.7015,6821.0000,12266.0000,15.7080,2.9370,4.6209,0.6349,0.6464,0.8162,0.8301,0.1998,0.2067,0.3054,0.3187
20260736,0.6032,0.8901,0.8800,0.8122,0.8275,0.2068,0.3336,0.2106,0.3106,16.0175,0.7089,7135.0000,12437.0000,16.0175,2.9654,4.6144,0.5916,0.6056,0.7910,0.8088,0.1844,0.1919,0.2760,0.2870
20260737,0.5983,0.8862,0.8809,0.8160,0.8312,0.2082,0.3319,0.2084,0.3143,15.7146,0.7086,7392.0000,12688.0000,15.7146,2.9659,4.6744,0.6209,0.6302,0.8311,0.8457,0.1907,0.1996,0.3576,0.3690
20260738,0.5982,0.8900,0.8821,0.8193,0.8347,0.2192,0.3408,0.2185,0.3088,15.6127,0.7051,7155.0000,12318.0000,15.6127,2.9434,4.5623,0.6037,0.6126,0.8691,0.8865,0.2401,0.2455,0.3152,0.3294
20260739,0.5834,0.8941,0.8755,0.7993,0.8142,0.2026,0.3128,0.2164,0.3038,15.9321,0.6997,7411.0000,12451.0000,15.9321,2.9552,4.5335,0.5816,0.5937,0.7606,0.7734,0.1838,0.1925,0.3077,0.3215
20260740,0.5933,0.8964,0.8903,0.8302,0.8460,0.2130,0.3388,0.2121,0.3083,15.8653,0.7051,7039.0000,12547.0000,15.8653,2.9656,4.6599,0.5648,0.5783,0.8078,0.8235,0.1876,0.1963,0.3089,0.3236
20260741,0.5990,0.8846,0.8819,0.8022,0.8203,0.2034,0.3295,0.2053,0.3082,16.0718,0.7062,7143.0000,12702.0000,16.0718,2.9454,4.5976,0.5890,0.6021,0.8258,0.8444,0.1989,0.2060,0.2876,0.3021
20260742,0.5898,0.8959,0.8647,0.8012,0.8130,0.2058,0.3107,0.2193,0.3048,15.9687,0.7024,7254.0000,12728.0000,15.9687,2.9750,4.5587,0.5290,0.5371,0.7711,0.7957,0.1845,0.1953,0.2514,0.2625
20260743,0.5948,0.8855,0.8895,0.8245,0.8421,0.2152,0.3405,0.2018,0.3048,15.5206,0.7014,6765.0000,12082.0000,15.5206,2.9380,4.5606,0.5829,0.5987,0.8479,0.8609,0.2094,0.2159,0.3251,0.3369
20260744,0.6087,0.8839,0.8781,0.8000,0.8160,0.2000,0.3067,0.2159,0.3033,15.8036,0.7072,7040.0000,12590.0000,15.8036,2.9482,4.5623,0.6052,0.6165,0.7815,0.7958,0.1921,0.1995,0.2884,0.3006
20260745,0.6040,0.8908,0.8907,0.8209,0.8400,0.2112,0.3318,0.2103,0.2881,15.7927,0.6978,6995.0000,12718.0000,15.7927,2.9621,4.5772,0.6034,0.6159,0.8105,0.8234,0.2134,0.2201,0.2674,0.2831
20260746,0.6036,0.8954,0.8724,0.8046,0.8183,0.2054,0.3329,0.2097,0.2998,15.8448,0.7051,7072.0000,12652.0000,15.8448,2.9776,4.6921,0.5993,0.6127,0.8069,0.8222,0.1921,0.1989,0.2854,0.3004
20260747,0.6133,0.8811,0.8789,0.7988,0.8169,0.2071,0.3341,0.2068,0.3022,15.8243,0.7092,7032.0000,13278.0000,15.8243,2.9859,4.6343,0.6134,0.6249,0.8324,0.8452,0.2047,0.2123,0.3224,0.3356
20260748,0.5950,0.8943,0.8737,0.7987,0.8152,0.2024,0.3139,0.2141,0.2921,15.8053,0.6991,7018.0000,12675.0000,15.8053,2.9641,4.6088,0.5798,0.5907,0.8141,0.8237,0.1994,0.2078,0.2616,0.2734
20260749,0.5996,0.8885,0.8936,0.8214,0.8408,0.2106,0.3326,0.2084,0.3229,15.7818,0.7101,7261.0000,12426.0000,15.7818,2.9564,4.5704,0.5929,0.6075,0.8002,0.8168,0.1992,0.2052,0.3262,0.3356
20260750,0.6019,0.8833,0.8858,0.8153,0.8328,0.2040,0.3247,0.2057,0.3060,15.9993,0.7059,6910.0000,13067.0000,15.9993,2.9838,4.6119,0.5696,0.5795,0.8405,0.8521,0.2093,0.2168,0.3068,0.3218
20260751,0.6045,0.8868,0.8677,0.7960,0.8107,0.2014,0.3199,0.2122,0.3011,16.0854,0.7078,7535.0000,13705.0000,16.0854,3.0093,4.6288,0.6185,0.6304,0.7712,0.7834,0.1885,0.1970,0.3026,0.3143
20260752,0.5983,0.8917,0.8828,0.8134,0.8281,0.2098,0.3328,0.2124,0.3037,15.8702,0.7045,6891.0000,13079.0000,15.8702,2.9783,4.6099,0.5551,0.5670,0.8198,0.8381,0.1920,0.2030,0.2950,0.3092
20260753,0.5934,0.8960,0.8824,0.8075,0.8250,0.2035,0.3238,0.2064,0.2982,15.8516,0.7020,7077.0000,12944.0000,15.8516,2.9964,4.6367,0.5830,0.5929,0.8168,0.8382,0.2127,0.2207,0.3042,0.3170
