full,-5..0,-2.5,0.28191,419
full,0..5,2.5,0.48248,2952
full,5..10,7.5,0.52782,17192
full,10..15,12.5,0.57425,35466
full,15..20,17.5,0.66838,32739
full,20..30,25.0,0.66204,27025
no_uncertainty,-5..0,-2.5,0.26876,419
no_uncertainty,0..5,2.5,0.45696,2952
no_uncertainty,5..10,7.5,0.52399,17192
no_uncertainty,10..15,12.5,0.55559,35466
no_uncertainty,15..20,17.5,0.65273,32739
no_uncertainty,20..30,25.0,0.66987,27025
no_cross_attn,-5..0,-2.5,0.31967,419
no_cross_attn,0..5,2.5,0.51056,2952
no_cross_attn,5..10,7.5,0.51661,17192
no_cross_attn,10..15,12.5,0.53777,35466
no_cross_attn,15..20,17.5,0.55611,32739
no_cross_attn,20..30,25.0,0.59154,27025
no_quality,-5..0,-2.5,0.28714,419
no_quality,0..5,2.5,0.48615,2952
no_quality,5..10,7.5,0.52890,17192
no_quality,10..15,12.5,0.56918,35466
no_quality,15..20,17.5,0.65024,32739
no_quality,20..30,25.0,0.65949,27025
no_semantic,-5..0,-2.5,0.28191,419
no_semantic,0..5,2.5,0.48248,2952
no_semantic,5..10,7.5,0.52782,17192
no_semantic,10..15,12.5,0.57425,35466
no_semantic,15..20,17.5,0.66838,32739
no_semantic,20..30,25.0,0.66204,27025
