metric,label,mean,std,ci95_low,ci95_high,min,max,n
pd,Probability of detection Pd,0.6012,0.0077,0.5985,0.6038,0.5834,0.6155,30
far,False-alarm rate (per dwell),0.8885,0.0069,0.8862,0.8910,0.8733,0.9068,30
precision,Precision (macro),0.8797,0.0067,0.8774,0.8821,0.8647,0.8936,30
recall,Recall (macro),0.8097,0.0092,0.8066,0.8130,0.7960,0.8302,30
macro_f1,Macro-F1,0.8258,0.0098,0.8224,0.8293,0.8107,0.8460,30
ece,ECE,0.2075,0.0052,0.2057,0.2094,0.2000,0.2193,30
mce,MCE,0.3271,0.0119,0.3229,0.3314,0.2993,0.3556,30
brier,Brier score,0.2116,0.0051,0.2099,0.2133,0.2018,0.2245,30
mota,MOTA,0.3059,0.0080,0.3032,0.3088,0.2881,0.3229,30
motp,MOTP (m),15.8498,0.1799,15.7863,15.9128,15.4424,16.0877,30
idf1,IDF1,0.7061,0.0040,0.7047,0.7075,0.6978,0.7130,30
fragmentation,Fragmentation (count),7132.0000,226.6935,7054.6000,7212.9667,6715.0000,7634.0000,30
id_switches,ID switches (count),12787.0667,362.4823,12664.7667,12916.8333,12082.0000,13705.0000,30
rmse,RMSE (m),15.8498,0.1799,15.7863,15.9128,15.4424,16.0877,30
lat_mean,"Latency mean (ms, modelled)",2.9724,0.0209,2.9653,2.9797,2.9370,3.0093,30
lat_p95,"Latency p95 (ms, modelled)",4.6222,0.0579,4.6022,4.6425,4.5335,4.7525,30
