method,conf_bin,conf_mean,conf_std,acc_mean,acc_std,n_seeds
calibrated,0.0-0.1,0.00000,0.00000,0.00000,0.00000,30
calibrated,0.1-0.2,0.00000,0.00000,0.00000,0.00000,30
calibrated,0.2-0.3,0.00000,0.00000,0.00000,0.00000,30
calibrated,0.3-0.4,0.37741,0.00036,0.46564,0.01561,30
calibrated,0.4-0.5,0.45087,0.00047,0.66292,0.01592,30
calibrated,0.5-0.6,0.55077,0.00031,0.87787,0.01193,30
calibrated,0.6-0.7,0.65116,0.00042,0.95931,0.00526,30
calibrated,0.7-0.8,0.75109,0.00054,0.98829,0.00164,30
calibrated,0.8-0.9,0.85327,0.00058,0.99837,0.00034,30
calibrated,0.9-1.0,0.93077,0.00086,0.99990,0.00007,30
ensemble_no_temp,0.0-0.1,0.00000,0.00000,0.00000,0.00000,30
ensemble_no_temp,0.1-0.2,0.00000,0.00000,0.00000,0.00000,30
ensemble_no_temp,0.2-0.3,0.00000,0.00000,0.00000,0.00000,30
ensemble_no_temp,0.3-0.4,0.37767,0.00036,0.43476,0.01725,30
ensemble_no_temp,0.4-0.5,0.45308,0.00043,0.58696,0.01523,30
ensemble_no_temp,0.5-0.6,0.54995,0.00048,0.78424,0.01764,30
ensemble_no_temp,0.6-0.7,0.65164,0.00048,0.90794,0.01008,30
ensemble_no_temp,0.7-0.8,0.75225,0.00039,0.96266,0.00475,30
ensemble_no_temp,0.8-0.9,0.85348,0.00044,0.98920,0.00151,30
ensemble_no_temp,0.9-1.0,0.95042,0.00072,0.99914,0.00019,30
