param,value,macro_f1,ece,fragmentation,id_switches,mota
zeta,1,0.8249,0.2019,7079.0000,18699.0000,0.0686
zeta,3,0.8249,0.2019,7014.0000,17754.0000,0.1159
zeta,9,0.8249,0.2019,6941.0000,12680.0000,0.3195
zeta,27,0.8249,0.2019,6945.0000,4355.0000,0.6488
zeta,81,0.8249,0.2019,6936.0000,790.0000,0.8061
gamma,0,0.8249,0.2019,6941.0000,12680.0000,0.3195
gamma,1,0.8249,0.2019,6941.0000,12680.0000,0.3195
gamma,3,0.8249,0.2019,6941.0000,12680.0000,0.3195
gamma,9,0.8249,0.2019,6941.0000,12680.0000,0.3195
gamma,27,0.8249,0.2019,6941.0000,12680.0000,0.3195
