seed,train,cal,val,test,total,overlap_check
20260730,250,41,43,66,400,PASS
20260731,236,31,46,87,400,PASS
20260732,252,41,38,69,400,PASS
20260733,246,47,37,70,400,PASS
20260734,235,35,42,88,400,PASS
20260735,231,46,43,80,400,PASS
20260736,259,34,30,77,400,PASS
20260737,237,39,38,86,400,PASS
20260738,254,33,41,72,400,PASS
20260739,236,44,44,76,400,PASS
20260740,232,51,38,79,400,PASS
20260741,232,47,46,75,400,PASS
20260742,258,35,33,74,400,PASS
20260743,241,37,47,75,400,PASS
20260744,244,36,46,74,400,PASS
20260745,245,36,49,70,400,PASS
20260746,248,43,42,67,400,PASS
20260747,228,30,58,84,400,PASS
20260748,225,44,49,82,400,PASS
20260749,237,47,38,78,400,PASS
20260750,246,39,37,78,400,PASS
20260751,248,37,40,75,400,PASS
20260752,242,36,37,85,400,PASS
20260753,239,38,44,79,400,PASS
20260754,232,40,37,91,400,PASS
20260755,241,42,37,80,400,PASS
20260756,244,36,37,83,400,PASS
20260757,245,44,40,71,400,PASS
20260758,253,36,45,66,400,PASS
20260759,236,41,36,87,400,PASS
