Property,Value
Operating system,"Ubuntu 24.04.4 LTS (Noble Numbat), Linux kernel 6.18.5, x86-64"
CPU,"Intel Xeon (Cascade Lake-class) @ 2.10 GHz, 4 vCPU"
System memory,"16 GiB (16,461,176 kB)"
Compiler,GNU g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
Language standard,ISO C++17 (-std=c++17)
Optimization flags,-O2
Build commands,g++ -std=c++17 -O2 -o radartwin main_s1.cpp; ... ustfuse main_s2.cpp; ... fusemetrics main_s3.cpp
Analytics runtime,"Python 3.11.15 (aggregation, statistics, figures); matplotlib 3.11.1, numpy 2.4.6, scipy 1.17.1"
Threading,single-threaded C++ (no parallel user processes during latency runs)
Experiment dates,2026-07-30
Random seeds,20260730 - 20260759 (30 repetitions)
Scenarios per repetition,400
