run_id,replicate_id,step,timestamp_utc,interval_end_utc,observed_time_utc,ingest_time_utc,site_id,mode,evidence_class,active_wan_id,wan_state,wan_capacity_mbps,offered_load_mbps,throughput_mbps,queue_delay_ms,rtt_ms,jitter_ms,loss_pct,failover_active,vpn_state,vpn_latency_ms,vpn_loss_pct,ap_total,ap_online,wifi_clients,mean_rssi_dbm,channel_util_pct,retry_pct,auth_failures,roaming_events,rogue_ap_count,assets_ready,assets_degraded,flows_per_s,scan_rate_pps,lateral_events,c2_beacons,power_state_start,power_state_end,mains_present,ats_transitions,soc_pct,soh_pct,pack_ocv_v,pack_voltage_v,pack_current_a,cell_ocv_min_v,cell_ocv_max_v,cell_min_v,cell_max_v,cell_imbalance_mv,battery_temp_c,load_w,shed_groups,autonomy_min,protection_trip,charge_state,detector_score,detector_alert,alert_latency_s,quality_flags,telemetry_gap_marker
demo,0,0,2026-09-03T09:00:00Z,2026-09-03T09:00:01Z,2026-09-03T09:00:00Z,2026-09-03T09:00:01Z,site_a,SIM,synthetic_demo,A-WAN-1,UP,1000.0,184.3839,184.33,0.0,16.26,0.6573,0.08,0,UP,4.0,0.0,48,48,195,-61.9,17.879,5.396,0,3,0,31,0,160.0,0.0,0,0,MAINS,MAINS,1,0,81.99,92.0,51.3399,51.6987,-4.0,3.94923,3.94923,3.97683,3.97683,0.0,23.1,220.0,,449.348,,CHARGE,0.0,0,,SYNTHETIC,0
demo,0,0,2026-09-03T09:00:00Z,2026-09-03T09:00:01Z,2026-09-03T09:00:00Z,2026-09-03T09:00:01Z,site_b,SIM,synthetic_demo,B-WAN-1,UP,1000.0,65.5231,65.83,0.0,23.49,2.1571,0.054,0,UP,4.0,0.0,6,6,28,-59.8,17.641,6.213,0,0,0,32,0,33.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,SYNTHETIC,0
demo,0,1,2026-09-03T09:00:01Z,2026-09-03T09:00:02Z,2026-09-03T09:00:01Z,2026-09-03T09:00:02Z,site_a,SIM,synthetic_demo,A-WAN-1,UP,1000.0,178.9067,178.29,0.0,19.18,3.2435,0.098,0,UP,4.0,0.0,48,48,235,-62.7,19.366,5.763,3,1,0,31,0,141.0,0.0,0,0,MAINS,MAINS,1,0,82.05,92.0,51.3403,51.6991,-4.0,3.94925,3.94925,3.97685,3.97685,0.0,22.9,1088.621,,90.812,,CHARGE,0.0,0,,SYNTHETIC,0
demo,0,1,2026-09-03T09:00:01Z,2026-09-03T09:00:02Z,2026-09-03T09:00:01Z,2026-09-03T09:00:02Z,site_b,SIM,synthetic_demo,B-WAN-1,UP,1000.0,59.9424,58.89,0.0,22.22,1.7609,0.114,0,UP,4.0,0.0,6,6,39,-61.2,20.917,6.266,0,0,0,32,0,54.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,SYNTHETIC,0
demo,0,2,2026-09-03T09:00:02Z,2026-09-03T09:00:03Z,2026-09-03T09:00:02Z,2026-09-03T09:00:03Z,site_a,SIM,synthetic_demo,A-WAN-1,UP,1000.0,142.9914,142.55,0.0,17.49,1.2716,0.027,0,UP,4.0,0.0,48,48,174,-61.6,17.292,5.083,0,3,0,31,0,177.0,0.0,0,0,MAINS,MAINS,1,0,82.01,92.0,51.3406,51.6994,-4.0,3.94928,3.94928,3.97688,3.97688,0.0,22.9,1068.249,,92.547,,CHARGE,0.0,0,,SYNTHETIC,0
demo,0,2,2026-09-03T09:00:02Z,2026-09-03T09:00:03Z,2026-09-03T09:00:02Z,2026-09-03T09:00:03Z,site_b,SIM,synthetic_demo,B-WAN-1,UP,1000.0,62.554,63.11,0.0,22.65,2.2997,0.129,0,UP,4.0,0.0,6,6,67,-61.2,26.898,8.762,0,0,0,32,0,54.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,SYNTHETIC,0
demo,0,3,2026-09-03T09:00:03Z,2026-09-03T09:00:04Z,2026-09-03T09:00:03Z,2026-09-03T09:00:04Z,site_a,SIM,synthetic_demo,A-WAN-1,UP,1000.0,146.1654,146.24,0.0,16.36,0.0917,0.07,0,UP,4.0,0.0,48,48,241,-61.7,19.583,5.686,1,4,0,31,0,197.0,0.0,0,0,MAINS,MAINS,1,0,82.02,92.0,51.341,51.6998,-4.0,3.9493,3.9493,3.9769,3.9769,0.0,23.1,1088.125,,90.859,,CHARGE,0.0,0,,SYNTHETIC,0
demo,0,3,2026-09-03T09:00:03Z,2026-09-03T09:00:04Z,2026-09-03T09:00:03Z,2026-09-03T09:00:04Z,site_b,SIM,synthetic_demo,B-WAN-1,UP,1000.0,78.9428,80.07,0.0,21.69,0.9444,0.128,0,UP,4.0,0.0,6,6,37,-63.5,20.831,6.021,0,0,0,32,0,50.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,SYNTHETIC|STALE,0
demo,0,4,2026-09-03T09:00:04Z,2026-09-03T09:00:05Z,2026-09-03T09:00:04Z,2026-09-03T09:00:05Z,site_a,SIM,synthetic_demo,A-WAN-1,UP,1000.0,154.7689,154.51,0.0,15.76,0.0293,0.076,0,UP,4.0,0.0,48,48,348,-63.359,23.003,6.37,2,3,0,31,0,325.0,0.0,0,0,MAINS,MAINS,1,0,82.01,92.0,51.3413,51.7001,-4.0,3.94933,3.94933,3.97693,3.97693,0.0,23.2,1104.648,,89.503,,CHARGE,0.0,0,,SYNTHETIC|STALE,0
demo,0,4,2026-09-03T09:00:04Z,2026-09-03T09:00:05Z,2026-09-03T09:00:04Z,2026-09-03T09:00:05Z,site_b,SIM,synthetic_demo,B-WAN-1,UP,1000.0,58.026,58.13,0.0,21.44,0.3258,0.071,0,UP,4.0,0.0,6,6,31,-63.359,19.793,5.934,0,0,0,32,0,75.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,SYNTHETIC|STALE,0
