run_id,replicate_id,truth_id,kind,cause,site_id,target,stage,intensity,onset_utc,end_utc,onset_step,end_step,expected_observable,notes
doe-006,0,evt-wan-a1-down:site_a,injected,link_failure,site_a,site_a,wan_down,step,2026-09-03T09:02:00Z,2026-09-03T09:03:30Z,120,210,"active_wan_id,failover_active,throughput_mbps",params={'link_id': 'A-WAN-1'}
doe-006,0,evt-vpn-degrade:site_a,injected,tunnel_degradation,site_a,site_a,vpn_degrade,linear,2026-09-03T09:04:00Z,2026-09-03T09:05:30Z,240,330,"vpn_latency_ms,vpn_loss_pct","params={'latency_add_ms': 55, 'loss_add_pct': 2.5, 'rekey': False}"
doe-006,0,evt-vpn-degrade:site_b,injected,tunnel_degradation,site_b,site_b,vpn_degrade,linear,2026-09-03T09:04:00Z,2026-09-03T09:05:30Z,240,330,"vpn_latency_ms,vpn_loss_pct","params={'latency_add_ms': 55, 'loss_add_pct': 2.5, 'rekey': False}"
doe-006,0,evt-recon:site_b,injected,synthetic_recon,site_b,site_b,recon_burst,step,2026-09-03T09:06:00Z,2026-09-03T09:07:00Z,360,420,scan_rate_pps,"params={'scan_rate_pps': 24, 'unique_ports': 180}"
doe-006,0,evt-lateral:site_b,injected,synthetic_lateral,site_b,site_b,lateral_sequence,step,2026-09-03T09:06:45Z,2026-09-03T09:07:50Z,405,470,lateral_events,"params={'events_per_step': 1, 'hops': 4}"
doe-006,0,evt-auth-burst:site_a,injected,synthetic_auth_failures,site_a,site_a,wifi_auth_burst,step,2026-09-03T09:07:40Z,2026-09-03T09:08:40Z,460,520,auth_failures,"params={'add_failures_per_step': 22, 'ap_fraction': 0.25}"
doe-006,0,evt-c2:site_b,injected,synthetic_c2,site_b,site_b,low_rate_c2,step,2026-09-03T09:08:20Z,2026-09-03T09:11:20Z,500,680,c2_beacons,"params={'period_s': 30, 'bytes_per_beacon': 512}"
doe-006,0,evt-mains-loss:site_a,injected,mains_failure,site_a,site_a,mains_loss,step,2026-09-03T09:09:30Z,2026-09-03T09:13:00Z,570,780,"power_state_end,soc_pct,ats_transitions",params={}
doe-006,0,evt-cell-imbalance:site_a,injected,cell_deviation,site_a,site_a,cell_imbalance,step,2026-09-03T09:10:20Z,2026-09-03T09:12:40Z,620,760,cell_imbalance_mv,"params={'cell_index': 6, 'delta_mv': 85}"
doe-006,0,evt-telemetry-gap:site_a,injected,transport_loss,site_a,site_a,telemetry_loss,step,2026-09-03T09:11:40Z,2026-09-03T09:12:15Z,700,735,telemetry_gap_marker,params={'mode': 'gap'}
doe-006,0,evt-drift:site_a,injected,distribution_shift,site_a,site_a,model_drift,step,2026-09-03T09:13:00Z,2026-09-03T09:15:00Z,780,900,"mean_rssi_dbm,offered_load_mbps","params={'load_factor': 1.35, 'rssi_shift_db': -5}"
doe-006,0,evt-drift:site_b,injected,distribution_shift,site_b,site_b,model_drift,step,2026-09-03T09:13:00Z,2026-09-03T09:15:00Z,780,900,"mean_rssi_dbm,offered_load_mbps","params={'load_factor': 1.35, 'rssi_shift_db': -5}"
doe-006,0,transition:active_wan:site_a:122,transition,active_wan:site_a,site_a,active_wan:site_a,A-WAN-1->A-WAN-2,,2026-09-03T09:02:02Z,2026-09-03T09:02:03Z,122,123,active_wan:site_a,
