run_id,experiment_id,scenario_id,component,replicate_id,mode,evidence_class,seed,duration_s,rows,gates_passed,config_hash,engine_source_hash,run_dir,status
demo,umsf-dt-demo-002,umsf-dt-demo-002,demo,0,SIM,synthetic_demo,20260903,900,1806,True,4e162d71f4b88bad4e910d57525f5b5365166152bf7fcea468c1b69f8921a740,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/demo,completed
demo,umsf-dt-demo-002,umsf-dt-demo-002,demo,1,SIM,synthetic_demo,20260903,900,1811,True,4e162d71f4b88bad4e910d57525f5b5365166152bf7fcea468c1b69f8921a740,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/demo,completed
demo,umsf-dt-demo-002,umsf-dt-demo-002,demo,2,SIM,synthetic_demo,20260903,900,1805,True,4e162d71f4b88bad4e910d57525f5b5365166152bf7fcea468c1b69f8921a740,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/demo,completed
doe-000,umsf-dt-demo-002,umsf-dt-demo-002,doe,0,SIM,synthetic_demo,20260903,900,1805,True,dbfeaf7019be9658c2c3d41f7299517e8e3e92e8a3bcfcd88df339f42681cf89,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/doe/doe-000,completed
doe-001,umsf-dt-demo-002,umsf-dt-demo-002,doe,0,SIM,synthetic_demo,20260903,900,1803,True,ffa7b25350c4af02974657b2335de04457bf861eb7e9b712bb405d992396f1ed,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/doe/doe-001,completed
doe-002,umsf-dt-demo-002,umsf-dt-demo-002,doe,0,SIM,synthetic_demo,20260903,900,1806,True,1a79f5f16b51535da35419decca482649876e7842c3ae2a75bd45e3c819bb746,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/doe/doe-002,completed
doe-003,umsf-dt-demo-002,umsf-dt-demo-002,doe,0,SIM,synthetic_demo,20260903,900,1806,True,7f7251dd55a498e5b5cff0ed9d01d50dc2aee54f4f57b9cdb511b55ef29e9ab8,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/doe/doe-003,completed
doe-004,umsf-dt-demo-002,umsf-dt-demo-002,doe,0,SIM,synthetic_demo,20260903,900,1805,True,0466bdddf3be43978c2e0bc79fc9e94b5530df776bce81e6e6f42d0077cd902a,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/doe/doe-004,completed
doe-005,umsf-dt-demo-002,umsf-dt-demo-002,doe,0,SIM,synthetic_demo,20260903,900,1807,True,ae1a068e0b60be0e929266e9b2c1237a94c1d887f1a19146b168faead6e1069b,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/doe/doe-005,completed
doe-006,umsf-dt-demo-002,umsf-dt-demo-002,doe,0,SIM,synthetic_demo,20260903,900,1805,True,b7fea0ab1d71ec1ac7bcb41b397adc9f7ec15e525af6675bc041354d497f56e0,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/doe/doe-006,completed
doe-007,umsf-dt-demo-002,umsf-dt-demo-002,doe,0,SIM,synthetic_demo,20260903,900,1805,True,b79662661f588e7d4c0f274605cba5e4033a5825cde154a07449e9c373204b1f,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/doe/doe-007,completed
baseline-quiet,baseline-quiet,baseline-quiet,scenario,0,SIM,synthetic_demo,20260903,600,1204,True,64370563cd5c765425e4b8bf875ac26b7a126312f56fac252d3045c849113a19,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/scenarios/baseline-quiet,completed
compound-challenge,compound-challenge,compound-challenge,scenario,0,SIM,synthetic_demo,20260903,700,1406,True,8eb0500ae69642d9fba3618b1721feda6fb7159a75db6258f430290654e20212,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/scenarios/compound-challenge,completed
cyber-campaign,cyber-campaign,cyber-campaign,scenario,0,SIM,synthetic_demo,20260903,700,1405,True,372361260f763a2f36aad7a7cf26fe7af429ad13287704589482f70fd5615deb,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/scenarios/cyber-campaign,completed
power-outage,power-outage,power-outage,scenario,0,SIM,synthetic_demo,20260903,1200,2408,True,e2dbbb728629a5cb839e541de0722a100c74496fcc92a35f60ae4618a8101088,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/scenarios/power-outage,completed
wan-failover,wan-failover,wan-failover,scenario,0,SIM,synthetic_demo,20260903,600,1204,True,198020bb458c972c5b51d95f6bd52df03e17064062674a4e35133df95b7ff6a5,2136f8f4be6e300c272a52056e15038260f33d67e0283cadde99939a09b24549,results/scenarios/wan-failover,completed
