run_id,replicate_id,truth_id,kind,cause,site_id,target,stage,intensity,onset_utc,end_utc,onset_step,end_step,expected_observable,notes
compound-challenge,0,evt-mains:site_a,injected,mains_failure,site_a,site_a,mains_loss,step,2026-09-03T09:02:00Z,2026-09-03T09:10:00Z,120,600,"power_state_end,soc_pct,ats_transitions",params={}
compound-challenge,0,evt-wan:site_a,injected,link_failure,site_a,site_a,wan_down,step,2026-09-03T09:02:30Z,2026-09-03T09:04:20Z,150,260,"active_wan_id,failover_active,throughput_mbps",params={'link_id': 'A-WAN-1'}
compound-challenge,0,evt-vpn:site_a,injected,tunnel_degradation,site_a,site_a,vpn_degrade,exponential,2026-09-03T09:03:20Z,2026-09-03T09:06:40Z,200,400,"vpn_latency_ms,vpn_loss_pct","params={'latency_add_ms': 80, 'loss_add_pct': 4.0, 'rekey': False}"
compound-challenge,0,evt-vpn:site_b,injected,tunnel_degradation,site_b,site_b,vpn_degrade,exponential,2026-09-03T09:03:20Z,2026-09-03T09:06:40Z,200,400,"vpn_latency_ms,vpn_loss_pct","params={'latency_add_ms': 80, 'loss_add_pct': 4.0, 'rekey': False}"
compound-challenge,0,evt-recon:site_b,injected,synthetic_recon,site_b,site_b,recon_burst,step,2026-09-03T09:04:20Z,2026-09-03T09:06:20Z,260,380,scan_rate_pps,"params={'scan_rate_pps': 26, 'unique_ports': 120}"
compound-challenge,0,evt-gap:site_a,injected,transport_loss,site_a,site_a,telemetry_loss,step,2026-09-03T09:05:00Z,2026-09-03T09:06:00Z,300,360,telemetry_gap_marker,params={'mode': 'gap'}
compound-challenge,0,evt-skew:site_b,injected,clock_error,site_b,site_b,clock_skew,step,2026-09-03T09:06:00Z,2026-09-03T09:10:00Z,360,600,quality_flags,"params={'offset_ms': 400, 'drift_ppm': 25}"
compound-challenge,0,transition:power_state:120,transition,power_state,site_a,power_state,MAINS->BATTERY,,2026-09-03T09:02:00Z,2026-09-03T09:02:01Z,120,121,power_state,
compound-challenge,0,transition:protection_trip:120,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:02:00Z,2026-09-03T09:02:01Z,120,121,protection_trip,
compound-challenge,0,transition:power_state:121,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:02:01Z,2026-09-03T09:02:02Z,121,122,power_state,
