run_id,replicate_id,alert_id,step,timestamp_utc,site_id,detector,score,threshold,rule_hits,explanation,correlated_with,recommended_action,approval_required,shadow_mode
cyber-campaign,0,alert-site_b-60,60,2026-09-03T09:01:00Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-61,61,2026-09-03T09:01:01Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-62,62,2026-09-03T09:01:02Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-63,63,2026-09-03T09:01:03Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-64,64,2026-09-03T09:01:04Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-65,65,2026-09-03T09:01:05Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-66,66,2026-09-03T09:01:06Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-67,67,2026-09-03T09:01:07Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-68,68,2026-09-03T09:01:08Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-69,69,2026-09-03T09:01:09Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-70,70,2026-09-03T09:01:10Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-71,71,2026-09-03T09:01:11Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-72,72,2026-09-03T09:01:12Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-73,73,2026-09-03T09:01:13Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-74,74,2026-09-03T09:01:14Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-75,75,2026-09-03T09:01:15Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-76,76,2026-09-03T09:01:16Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-77,77,2026-09-03T09:01:17Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-78,78,2026-09-03T09:01:18Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-79,79,2026-09-03T09:01:19Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-80,80,2026-09-03T09:01:20Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-81,81,2026-09-03T09:01:21Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-82,82,2026-09-03T09:01:22Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-83,83,2026-09-03T09:01:23Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-84,84,2026-09-03T09:01:24Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-85,85,2026-09-03T09:01:25Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
cyber-campaign,0,alert-site_b-86,86,2026-09-03T09:01:26Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
