run_id,replicate_id,truth_id,kind,cause,site_id,target,stage,intensity,onset_utc,end_utc,onset_step,end_step,expected_observable,notes
power-outage,0,evt-mains:site_a,injected,mains_failure,site_a,site_a,mains_loss,step,2026-09-03T09:01:00Z,2026-09-03T09:15:00Z,60,900,"power_state_end,soc_pct,ats_transitions",params={}
power-outage,0,evt-imbalance:site_a,injected,cell_deviation,site_a,site_a,cell_imbalance,step,2026-09-03T09:05:00Z,2026-09-03T09:15:00Z,300,900,cell_imbalance_mv,"params={'cell_index': 4, 'delta_mv': 120}"
power-outage,0,transition:power_state:60,transition,power_state,site_a,power_state,MAINS->BATTERY,,2026-09-03T09:01:00Z,2026-09-03T09:01:01Z,60,61,power_state,
power-outage,0,transition:protection_trip:60,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:01:00Z,2026-09-03T09:01:01Z,60,61,protection_trip,
power-outage,0,transition:power_state:61,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:01:01Z,2026-09-03T09:01:02Z,61,62,power_state,
power-outage,0,transition:protection_trip:61,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:01:01Z,2026-09-03T09:01:02Z,61,62,protection_trip,
power-outage,0,transition:shed_groups:61,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:01:01Z,2026-09-03T09:01:02Z,61,62,shed_groups,
power-outage,0,transition:ap_online:site_a:61,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:01:01Z,2026-09-03T09:01:02Z,61,62,ap_online:site_a,
power-outage,0,transition:power_state:76,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:01:16Z,2026-09-03T09:01:17Z,76,77,power_state,
power-outage,0,transition:shed_groups:76,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:01:16Z,2026-09-03T09:01:17Z,76,77,shed_groups,
power-outage,0,transition:ap_online:site_a:76,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:01:16Z,2026-09-03T09:01:17Z,76,77,ap_online:site_a,
power-outage,0,transition:protection_trip:77,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:01:17Z,2026-09-03T09:01:18Z,77,78,protection_trip,
power-outage,0,transition:power_state:78,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:01:18Z,2026-09-03T09:01:19Z,78,79,power_state,
power-outage,0,transition:protection_trip:78,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:01:18Z,2026-09-03T09:01:19Z,78,79,protection_trip,
power-outage,0,transition:shed_groups:78,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:01:18Z,2026-09-03T09:01:19Z,78,79,shed_groups,
power-outage,0,transition:ap_online:site_a:78,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:01:18Z,2026-09-03T09:01:19Z,78,79,ap_online:site_a,
power-outage,0,transition:power_state:93,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:01:33Z,2026-09-03T09:01:34Z,93,94,power_state,
power-outage,0,transition:shed_groups:93,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:01:33Z,2026-09-03T09:01:34Z,93,94,shed_groups,
power-outage,0,transition:ap_online:site_a:93,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:01:33Z,2026-09-03T09:01:34Z,93,94,ap_online:site_a,
power-outage,0,transition:protection_trip:94,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:01:34Z,2026-09-03T09:01:35Z,94,95,protection_trip,
